Label	Precision	Recall
vegetal	0.6921	0.8345
fruite	0.6468	0.8519
frais	0.6737	0.7935
vegetal_vert	0.6112	0.7944
doux	0.4826	0.9082
gras	0.4748	0.8640
floral	0.4951	0.8492
boise	0.4766	0.7827
vert	0.3892	0.8211
aldehyde	0.3223	0.8016
chimique	0.2390	0.9200
empyreumatique	0.3137	0.9036
balsamique	0.2372	0.8517
aldehyde_frais	0.2540	0.7921
fruit_exotique	0.2469	0.8917
herbe	0.2273	0.8272
legume	0.2281	0.8700
fermentaire	0.1828	0.9053
phenole	0.2378	0.9019
epice	0.2021	0.8182
fleur_d_arbuste	0.2122	0.8495
cuit	0.1975	0.8958
terreux	0.1464	0.9339
fruit_sec	0.1577	0.9190
fleur_du_jardin	0.1804	0.8438
agrume	0.2222	0.8091
oleagineux	0.1633	0.9137
lactique	0.1456	0.9254
soufre	0.2904	0.9172
plante_aromatique	0.1795	0.7614
animal	0.1087	0.9259
fruit_a_coque	0.1425	0.8826
moisi	0.1020	0.9455
fruit_a_pepins	0.1700	0.8810
torrefie	0.1523	0.9504
medicinal	0.1516	0.9256
vegetal_sec	0.0990	0.8684
rose	0.1431	0.8259
huile	0.1407	0.7511
lactone	0.1116	0.8824
menthe	0.1858	0.7962
bois	0.1740	0.8086
creme	0.0834	0.9337
boissons_alcoolisees	0.1126	0.8800
sucre_cuit	0.0976	0.8941
baie	0.0796	0.9096
poudre	0.1077	0.8780
viande_cuite	0.1179	0.9286
pomme	0.1270	0.9139
malte	0.0969	0.9404
mielle	0.0947	0.8357
solvant	0.1023	0.8421
ananas	0.0951	0.9462
fruit_rouge	0.0574	0.9612
coumarine	0.0758	0.8730
caramel	0.0808	0.9040
mineral	0.0553	0.9440
resineux	0.1274	0.8629
alliace	0.2350	0.9837
fruit_a_noyau	0.0794	0.8699
metal	0.0579	0.9504
metallique	0.0576	0.9412
peponide	0.0855	0.7909
melon	0.0863	0.8056
brule	0.0770	0.9346
feuille	0.0555	0.8571
alcool_de_fut	0.0783	0.8269
ether	0.0825	0.8515
boisson_fermentee	0.0598	0.9100
camphre	0.1080	0.8900
miel	0.0659	0.8557
citronne	0.0815	0.8333
racine	0.0350	1.0000
oignon	0.1865	0.9895
crucifere	0.0701	0.8936
lacte	0.0411	0.9362
fleur_d_arbre	0.0618	0.8387
vin	0.0680	0.8804
fromage	0.0659	0.9213
poire	0.0857	0.8764
banane	0.0786	0.9070
champignon	0.0421	0.9186
cafe	0.0657	0.9643
cacao	0.0521	0.9762
musque	0.1144	0.8228
savon	0.0640	0.7403
beurre	0.0543	0.8961
noix_de_coco	0.0753	0.8533
anise	0.0391	0.8514
pin	0.1109	0.8611
vanille	0.0667	0.9306
jasmin	0.0556	0.8056
ambre	0.0956	0.8310
ail	0.1326	1.0000
musc	0.1356	0.9104
cereale	0.0543	0.9403
peche	0.0502	0.9091
cerise	0.0383	0.9538
violette	0.0450	0.8197
rhum	0.0454	0.9000

Mean Precision: 0.1596
