Label	Precision	Recall
vegetal	0.6637	0.8928
fruite	0.6223	0.9107
frais	0.6311	0.8733
vegetal_vert	0.5804	0.8715
doux	0.4530	0.9712
gras	0.4585	0.8885
floral	0.4424	0.9340
boise	0.4036	0.9365
vert	0.4049	0.8207
aldehyde	0.2875	0.9113
chimique	0.2268	0.9500
empyreumatique	0.3604	0.8255
balsamique	0.2028	0.9867
aldehyde_frais	0.2313	0.9154
fruit_exotique	0.2328	0.9002
herbe	0.2071	0.9226
legume	0.3107	0.7269
fermentaire	0.1924	0.8304
phenole	0.2336	0.9002
epice	0.1862	0.8923
fleur_d_arbuste	0.2003	0.9443
cuit	0.2303	0.8047
terreux	0.1594	0.8810
fruit_sec	0.1765	0.8440
fleur_du_jardin	0.1771	0.9318
agrume	0.2197	0.8617
oleagineux	0.1858	0.8388
lactique	0.1554	0.9102
soufre	0.4947	0.8103
plante_aromatique	0.1388	0.8541
animal	0.1159	0.8704
fruit_a_coque	0.1621	0.8226
moisi	0.1064	0.8872
fruit_a_pepins	0.1519	0.9167
torrefie	0.1972	0.8719
medicinal	0.1483	0.9087
vegetal_sec	0.0886	0.9605
rose	0.1418	0.9152
huile	0.1390	0.8054
lactone	0.1101	0.9045
menthe	0.1822	0.8152
bois	0.1549	0.8517
creme	0.0811	0.9341
boissons_alcoolisees	0.1147	0.8883
sucre_cuit	0.0920	0.8882
baie	0.0743	0.9581
poudre	0.0895	0.9268
viande_cuite	0.2085	0.8312
pomme	0.1225	0.9735
malte	0.1051	0.8733
mielle	0.0890	0.9000
solvant	0.1396	0.8333
ananas	0.0984	0.9302
fruit_rouge	0.0607	0.9766
coumarine	0.0761	0.9120
caramel	0.0990	0.9120
mineral	0.0630	0.8548
resineux	0.1239	0.8710
alliace	0.3295	0.9355
fruit_a_noyau	0.0659	0.9350
metal	0.0659	0.8264
metallique	0.0654	0.8403
peponide	0.0780	0.8273
melon	0.0799	0.8349
brule	0.1018	0.9159
feuille	0.0583	0.8571
alcool_de_fut	0.0797	0.8558
ether	0.1190	0.8614
boisson_fermentee	0.0647	0.8700
camphre	0.0975	0.8800
miel	0.0657	0.9485
citronne	0.0676	0.9375
racine	0.0487	0.7812
oignon	0.2609	0.9474
crucifere	0.1030	0.7660
lacte	0.0468	0.9140
fleur_d_arbre	0.0542	0.9462
vin	0.0679	0.9130
fromage	0.0751	0.9213
poire	0.0760	0.9091
banane	0.0824	0.9535
champignon	0.0547	0.8605
cafe	0.0964	0.9176
cacao	0.0574	0.9286
musque	0.0960	0.8481
savon	0.0415	0.8701
beurre	0.0543	0.9737
noix_de_coco	0.0715	0.9067
anise	0.0375	0.9726
pin	0.0965	0.9452
vanille	0.0576	0.9167
jasmin	0.0451	0.9861
ambre	0.0654	0.9296
ail	0.1924	0.9706
musc	0.1094	0.9403
cereale	0.0711	0.8806
peche	0.0422	0.9697
cerise	0.0395	0.9394
violette	0.0451	0.9333
rhum	0.0445	0.8833

Mean Precision: 0.1628
