Label	Precision	Recall
vegetal	0.6381	0.8970
fruite	0.6018	0.9374
frais	0.5909	0.9197
vegetal_vert	0.5509	0.9092
doux	0.4615	0.9577
gras	0.4442	0.9426
floral	0.4555	0.9218
boise	0.4675	0.7883
vert	0.3507	0.9294
aldehyde	0.2757	0.9223
chimique	0.2224	0.9601
empyreumatique	0.3979	0.8104
balsamique	0.2226	0.9354
aldehyde_frais	0.2148	0.9323
fruit_exotique	0.1989	0.9384
herbe	0.1975	0.9313
legume	0.2409	0.7731
fermentaire	0.1721	0.9053
phenole	0.2389	0.8260
epice	0.1910	0.8578
fleur_d_arbuste	0.1902	0.9443
cuit	0.2496	0.8177
terreux	0.1529	0.9129
fruit_sec	0.1614	0.8736
fleur_du_jardin	0.1629	0.9375
agrume	0.1898	0.9288
oleagineux	0.1717	0.8645
lactique	0.1303	0.9761
soufre	0.4593	0.8172
plante_aromatique	0.1415	0.8697
animal	0.1570	0.6407
fruit_a_coque	0.1784	0.8038
moisi	0.1039	0.8837
fruit_a_pepins	0.1286	0.9524
torrefie	0.1903	0.8430
medicinal	0.1463	0.8382
vegetal_sec	0.0952	0.9254
rose	0.1174	0.9375
huile	0.0981	0.8919
lactone	0.0898	0.9548
menthe	0.1839	0.8009
bois	0.1621	0.7667
creme	0.0698	0.9835
boissons_alcoolisees	0.0913	0.9326
sucre_cuit	0.0917	0.8772
baie	0.0674	0.9515
poudre	0.1042	0.8720
viande_cuite	0.2083	0.8182
pomme	0.0951	0.9868
malte	0.1018	0.8467
mielle	0.0756	0.8286
solvant	0.0933	0.8647
ananas	0.0708	0.9612
fruit_rouge	0.0556	0.9690
coumarine	0.0552	0.9764
caramel	0.0938	0.8810
mineral	0.0563	0.9120
resineux	0.1400	0.8548
alliace	0.3118	0.9355
fruit_a_noyau	0.0543	0.9431
metal	0.0585	0.9180
metallique	0.0550	0.9160
peponide	0.0592	0.9182
melon	0.0599	0.8991
brule	0.1086	0.8879
feuille	0.0483	0.9528
alcool_de_fut	0.0655	0.9327
ether	0.0755	0.8725
boisson_fermentee	0.0537	0.9300
camphre	0.0974	0.8700
miel	0.0495	0.8265
citronne	0.0586	0.9688
racine	0.0359	0.9375
oignon	0.2594	0.9474
crucifere	0.0833	0.7660
lacte	0.0388	0.9574
fleur_d_arbre	0.0573	0.8298
vin	0.0530	0.9565
fromage	0.0604	0.9333
poire	0.0629	0.9888
banane	0.0580	0.9425
champignon	0.0431	0.9070
cafe	0.1012	0.8941
cacao	0.0560	0.9286
musque	0.1881	0.7215
savon	0.0465	0.9103
beurre	0.0369	0.9740
noix_de_coco	0.0340	0.9867
anise	0.0359	0.9324
pin	0.1049	0.9041
vanille	0.0660	0.8889
jasmin	0.0381	0.9583
ambre	0.1117	0.8310
ail	0.1768	0.9853
musc	0.2124	0.8209
cereale	0.0674	0.9104
peche	0.0333	0.9552
cerise	0.0387	0.9231
violette	0.0341	1.0000
rhum	0.0327	0.9833

Mean Precision: 0.1559
