Label	Precision	Recall
vegetal	0.6564	0.8928
fruite	0.6350	0.8828
frais	0.6257	0.8810
vegetal_vert	0.5747	0.8778
doux	0.4757	0.9408
gras	0.4632	0.8861
floral	0.4495	0.9321
boise	0.4159	0.9374
vert	0.3840	0.8920
aldehyde	0.2878	0.8986
chimique	0.2488	0.9267
empyreumatique	0.3729	0.8272
balsamique	0.2276	0.9658
aldehyde_frais	0.2318	0.9094
fruit_exotique	0.2355	0.9214
herbe	0.2067	0.9161
legume	0.2922	0.8128
fermentaire	0.1999	0.8750
phenole	0.2385	0.9142
epice	0.1798	0.9485
fleur_d_arbuste	0.1901	0.9646
cuit	0.2438	0.7995
terreux	0.1576	0.8730
fruit_sec	0.1725	0.8719
fleur_du_jardin	0.1647	0.9517
agrume	0.1960	0.9020
oleagineux	0.1922	0.8507
lactique	0.1733	0.8713
soufre	0.4059	0.8483
plante_aromatique	0.1326	0.8897
animal	0.1388	0.7704
fruit_a_coque	0.1659	0.8075
moisi	0.1064	0.9066
fruit_a_pepins	0.1603	0.9444
torrefie	0.1977	0.8636
medicinal	0.1468	0.9461
vegetal_sec	0.0955	0.9342
rose	0.1259	0.9598
huile	0.1352	0.8009
lactone	0.1136	0.9136
menthe	0.1668	0.8626
bois	0.1803	0.7990
creme	0.0952	0.8571
boissons_alcoolisees	0.1244	0.8827
sucre_cuit	0.0975	0.8941
baie	0.0775	0.9461
poudre	0.0970	0.9085
viande_cuite	0.1997	0.8247
pomme	0.1211	0.9735
malte	0.1096	0.9200
mielle	0.0824	0.9286
solvant	0.1657	0.8561
ananas	0.0993	0.9380
fruit_rouge	0.0626	0.9766
coumarine	0.0802	0.9120
caramel	0.1052	0.8640
mineral	0.0634	0.8790
resineux	0.1508	0.8548
alliace	0.3028	0.9597
fruit_a_noyau	0.0719	0.9431
metal	0.0631	0.8843
metallique	0.0612	0.8739
peponide	0.0752	0.8727
melon	0.0774	0.8899
brule	0.0932	0.9252
feuille	0.0519	0.9333
alcool_de_fut	0.0906	0.8942
ether	0.1396	0.8416
boisson_fermentee	0.0734	0.9300
camphre	0.1020	0.9400
miel	0.0567	0.9381
citronne	0.0629	0.9375
racine	0.0421	0.9375
oignon	0.2493	0.9684
crucifere	0.0899	0.8298
lacte	0.0526	0.9247
fleur_d_arbre	0.0562	0.9355
vin	0.0743	0.9457
fromage	0.0816	0.9101
poire	0.0741	0.9318
banane	0.0810	0.9651
champignon	0.0530	0.8837
cafe	0.0919	0.9294
cacao	0.0611	0.9405
musque	0.2007	0.7722
savon	0.0503	0.8571
beurre	0.0609	0.9342
noix_de_coco	0.0778	0.8667
anise	0.0365	0.9726
pin	0.1097	0.9178
vanille	0.0649	0.9444
jasmin	0.0439	0.9722
ambre	0.0829	0.8873
ail	0.1841	0.9853
musc	0.2283	0.8657
cereale	0.0688	0.8955
peche	0.0436	0.9394
cerise	0.0397	0.9848
violette	0.0435	0.9333
rhum	0.0571	0.9167

Mean Precision: 0.1662
