Label	Precision	Recall
vegetal	0.6329	0.9215
fruite	0.6308	0.7800
frais	0.5728	0.9372
vegetal_vert	0.5239	0.9407
doux	0.4386	0.9928
gras	0.4343	0.9533
floral	0.4329	0.9114
boise	0.3726	0.9827
vert	0.3763	0.7346
aldehyde	0.2581	0.9445
chimique	0.2196	0.9451
empyreumatique	0.4370	0.7097
balsamique	0.1873	0.9962
aldehyde_frais	0.1993	0.9562
fruit_exotique	0.2623	0.6879
herbe	0.1807	0.9549
legume	0.3534	0.4515
fermentaire	0.1855	0.8833
phenole	0.1901	0.9490
epice	0.1650	0.9767
fleur_d_arbuste	0.1807	0.9342
cuit	0.2969	0.6797
terreux	0.1328	0.9657
fruit_sec	0.1882	0.6994
fleur_du_jardin	0.1548	0.9233
agrume	0.1852	0.9373
oleagineux	0.1958	0.7349
lactique	0.1698	0.7612
soufre	0.6549	0.6414
plante_aromatique	0.1163	0.9472
animal	0.1043	0.8370
fruit_a_coque	0.1780	0.7585
moisi	0.0950	0.9729
fruit_a_pepins	0.2117	0.6310
torrefie	0.2016	0.7231
medicinal	0.1015	0.9834
vegetal_sec	0.0823	0.9912
rose	0.1165	0.7991
huile	0.1146	0.8018
lactone	0.0922	0.8824
menthe	0.1096	0.9052
bois	0.0938	0.9714
creme	0.0861	0.8077
boissons_alcoolisees	0.1339	0.6742
sucre_cuit	0.1054	0.7895
baie	0.0659	0.9636
poudre	0.0725	0.9695
viande_cuite	0.2632	0.5519
pomme	0.1620	0.7219
malte	0.1065	0.7733
mielle	0.0690	0.9000
solvant	0.1444	0.6842
ananas	0.1193	0.6279
fruit_rouge	0.0638	0.8062
coumarine	0.0576	0.9606
caramel	0.1054	0.7937
mineral	0.0688	0.6160
resineux	0.0637	0.9758
alliace	0.5179	0.7016
fruit_a_noyau	0.0634	0.7642
metal	0.0708	0.6148
metallique	0.0685	0.5714
peponide	0.1084	0.6909
melon	0.0995	0.7248
brule	0.1172	0.7944
feuille	0.0467	0.8208
alcool_de_fut	0.0909	0.6442
ether	0.1283	0.6765
boisson_fermentee	0.0752	0.6800
camphre	0.0542	0.9800
miel	0.0414	0.9286
citronne	0.0494	0.9792
racine	0.0373	0.8854
oignon	0.4072	0.7158
crucifere	0.1482	0.6277
lacte	0.0394	0.6702
fleur_d_arbre	0.0529	0.8617
vin	0.0833	0.6957
fromage	0.0856	0.7778
poire	0.1117	0.7079
banane	0.0888	0.6667
champignon	0.0578	0.6163
cafe	0.0921	0.8235
cacao	0.0525	0.7262
musque	0.0555	0.9367
savon	0.0556	0.8462
beurre	0.0522	0.6494
noix_de_coco	0.0444	0.8400
anise	0.0322	0.9324
pin	0.0482	0.9726
vanille	0.0661	0.8056
jasmin	0.0377	0.8194
ambre	0.0467	0.9577
ail	0.3472	0.7353
musc	0.0475	0.9701
cereale	0.0700	0.8358
peche	0.0438	0.8209
cerise	0.0474	0.7231
violette	0.0383	0.9180
rhum	0.0568	0.6667

Mean Precision: 0.1640
