Label	Precision	Recall
vegetal	0.6657	0.8850
fruite	0.6366	0.8672
frais	0.6321	0.8542
vegetal_vert	0.5836	0.8602
doux	0.4578	0.9576
gras	0.4598	0.8918
floral	0.4720	0.9075
boise	0.4042	0.9346
vert	0.3988	0.8619
aldehyde	0.2950	0.8875
chimique	0.2359	0.9450
empyreumatique	0.3576	0.8339
balsamique	0.2108	0.9791
aldehyde_frais	0.2357	0.9094
fruit_exotique	0.2382	0.9130
herbe	0.2124	0.9161
legume	0.2851	0.7687
fermentaire	0.2065	0.7946
phenole	0.2203	0.9350
epice	0.1849	0.9110
fleur_d_arbuste	0.2067	0.9266
cuit	0.2350	0.8151
terreux	0.1475	0.9048
fruit_sec	0.1903	0.7744
fleur_du_jardin	0.1725	0.9347
agrume	0.1924	0.8703
oleagineux	0.2000	0.7881
lactique	0.1673	0.8353
soufre	0.4669	0.8276
plante_aromatique	0.1373	0.8612
animal	0.1177	0.7593
fruit_a_coque	0.1605	0.7962
moisi	0.1107	0.8132
fruit_a_pepins	0.1618	0.9286
torrefie	0.1800	0.8926
medicinal	0.1326	0.9461
vegetal_sec	0.0945	0.9518
rose	0.1353	0.9107
huile	0.1431	0.7873
lactone	0.1128	0.8591
menthe	0.1610	0.8531
bois	0.1399	0.8756
creme	0.0972	0.8681
boissons_alcoolisees	0.1275	0.8603
sucre_cuit	0.0883	0.9000
baie	0.0719	0.9521
poudre	0.0937	0.9207
viande_cuite	0.2078	0.7922
pomme	0.1175	0.9735
malte	0.0971	0.8800
mielle	0.0894	0.8786
solvant	0.1361	0.8106
ananas	0.1095	0.8992
fruit_rouge	0.0573	0.9609
coumarine	0.0830	0.8640
caramel	0.0920	0.8800
mineral	0.0610	0.8145
resineux	0.1014	0.8952
alliace	0.3189	0.9516
fruit_a_noyau	0.0683	0.8862
metal	0.0624	0.7934
metallique	0.0598	0.7983
peponide	0.0824	0.8364
melon	0.0833	0.8440
brule	0.0898	0.9346
feuille	0.0525	0.9048
alcool_de_fut	0.0904	0.8365
ether	0.1165	0.7822
boisson_fermentee	0.0706	0.9000
camphre	0.0808	0.8800
miel	0.0571	0.8557
citronne	0.0580	0.9583
racine	0.0381	0.9583
oignon	0.2521	0.9684
crucifere	0.0930	0.8085
lacte	0.0496	0.8495
fleur_d_arbre	0.0635	0.8495
vin	0.0704	0.8913
fromage	0.0774	0.8539
poire	0.0787	0.8750
banane	0.0891	0.9070
champignon	0.0521	0.7674
cafe	0.0812	0.9529
cacao	0.0553	0.9405
musque	0.1579	0.7975
savon	0.0480	0.8571
beurre	0.0633	0.8684
noix_de_coco	0.0919	0.8800
anise	0.0398	0.9452
pin	0.0794	0.9452
vanille	0.0615	0.9028
jasmin	0.0460	0.9444
ambre	0.0668	0.9437
ail	0.1875	0.9706
musc	0.1546	0.8955
cereale	0.0565	0.8955
peche	0.0441	0.9091
cerise	0.0391	0.9091
violette	0.0413	0.9333
rhum	0.0490	0.8667

Mean Precision: 0.1631
