Label	Precision	Recall
vegetal	0.6780	0.8580
fruite	0.6097	0.9100
frais	0.6387	0.8440
vegetal_vert	0.5955	0.8256
doux	0.4580	0.9576
gras	0.4345	0.9303
floral	0.4620	0.8953
boise	0.4329	0.8604
vert	0.3783	0.8463
aldehyde	0.3054	0.8320
chimique	0.2175	0.9617
empyreumatique	0.3080	0.8775
balsamique	0.2044	0.9867
aldehyde_frais	0.2460	0.8445
fruit_exotique	0.2316	0.8875
herbe	0.2174	0.8538
legume	0.2349	0.8480
fermentaire	0.1713	0.9263
phenole	0.2222	0.8840
epice	0.1851	0.8642
fleur_d_arbuste	0.1933	0.8962
cuit	0.2045	0.8776
terreux	0.1342	0.9921
fruit_sec	0.1430	0.8969
fleur_du_jardin	0.1674	0.8949
agrume	0.2123	0.8184
oleagineux	0.1355	0.9403
lactique	0.1329	0.9371
soufre	0.3320	0.8897
plante_aromatique	0.1419	0.8221
animal	0.1089	0.7778
fruit_a_coque	0.1291	0.8830
moisi	0.0947	0.9805
fruit_a_pepins	0.1699	0.8016
torrefie	0.1501	0.9298
medicinal	0.1344	0.9004
vegetal_sec	0.0901	0.9254
rose	0.1443	0.8259
huile	0.1243	0.8145
lactone	0.0885	0.9500
menthe	0.1496	0.8152
bois	0.1753	0.7943
creme	0.0702	0.9615
boissons_alcoolisees	0.1073	0.8994
sucre_cuit	0.0855	0.8647
baie	0.0711	0.8982
poudre	0.0942	0.8841
viande_cuite	0.1241	0.8506
pomme	0.1185	0.8344
malte	0.0870	0.9133
mielle	0.0939	0.8286
solvant	0.0796	0.8788
ananas	0.0943	0.8217
fruit_rouge	0.0536	0.9766
coumarine	0.0534	0.9600
caramel	0.0783	0.9200
mineral	0.0551	0.8790
resineux	0.1372	0.8387
alliace	0.2680	0.9597
fruit_a_noyau	0.0639	0.8862
metal	0.0522	0.9174
metallique	0.0506	0.8992
peponide	0.0939	0.8091
melon	0.0888	0.8532
brule	0.0742	0.9626
feuille	0.0489	0.8667
alcool_de_fut	0.0770	0.8558
ether	0.0741	0.8812
boisson_fermentee	0.0588	0.9000
camphre	0.0779	0.8700
miel	0.0551	0.8351
citronne	0.0607	0.8646
racine	0.0335	0.9792
oignon	0.2131	0.9579
crucifere	0.0722	0.8511
lacte	0.0356	0.9355
fleur_d_arbre	0.0528	0.8280
vin	0.0630	0.8913
fromage	0.0652	0.8539
poire	0.0801	0.8409
banane	0.0644	0.8721
champignon	0.0471	0.8605
cafe	0.0583	0.9529
cacao	0.0454	0.9524
musque	0.1142	0.8228
savon	0.0490	0.7662
beurre	0.0468	0.9079
noix_de_coco	0.0365	0.9733
anise	0.0371	0.8493
pin	0.1011	0.9178
vanille	0.0539	0.9028
jasmin	0.0413	0.9028
ambre	0.1017	0.8310
ail	0.1614	0.9853
musc	0.1457	0.8657
cereale	0.0471	0.9104
peche	0.0376	0.9091
cerise	0.0345	0.9091
violette	0.0456	0.8833
rhum	0.0438	0.9000

Mean Precision: 0.1506
