Label	Precision	Recall
vegetal	0.6695	0.8497
fruite	0.6553	0.7986
frais	0.6487	0.8277
vegetal_vert	0.5921	0.8549
doux	0.4638	0.9409
gras	0.4568	0.9066
floral	0.4823	0.8756
boise	0.4166	0.9201
vert	0.4203	0.7927
aldehyde	0.2990	0.8653
chimique	0.2342	0.8985
empyreumatique	0.3611	0.8507
balsamique	0.2116	0.9810
aldehyde_frais	0.2352	0.8845
fruit_exotique	0.2642	0.7877
herbe	0.2140	0.8906
legume	0.2653	0.7930
fermentaire	0.1910	0.8678
phenole	0.2133	0.8956
epice	0.1898	0.9091
fleur_d_arbuste	0.2138	0.9013
cuit	0.2375	0.8438
terreux	0.1388	0.9736
fruit_sec	0.1743	0.8118
fleur_du_jardin	0.1773	0.8920
agrume	0.2145	0.8519
oleagineux	0.1803	0.8313
lactique	0.1707	0.8209
soufre	0.4117	0.8517
plante_aromatique	0.1460	0.8275
animal	0.1158	0.8741
fruit_a_coque	0.1546	0.8377
moisi	0.0985	0.9535
fruit_a_pepins	0.2043	0.7579
torrefie	0.1689	0.9008
medicinal	0.1339	0.9461
vegetal_sec	0.0901	0.9825
rose	0.1489	0.8527
huile	0.1312	0.7432
lactone	0.1099	0.8778
menthe	0.1492	0.8720
bois	0.1164	0.9095
creme	0.0916	0.8736
boissons_alcoolisees	0.1466	0.7528
sucre_cuit	0.1052	0.8246
baie	0.0773	0.9091
poudre	0.0957	0.9024
viande_cuite	0.1527	0.8636
pomme	0.1609	0.8013
malte	0.0966	0.9000
mielle	0.0852	0.8357
solvant	0.1211	0.7895
ananas	0.1222	0.7519
fruit_rouge	0.0661	0.8915
coumarine	0.0687	0.9370
caramel	0.0986	0.8730
mineral	0.0640	0.8080
resineux	0.0939	0.9355
alliace	0.3169	0.9355
fruit_a_noyau	0.0820	0.8130
metal	0.0654	0.7623
metallique	0.0625	0.7815
peponide	0.0927	0.7636
melon	0.0947	0.7615
brule	0.0821	0.9252
feuille	0.0582	0.9245
alcool_de_fut	0.0953	0.7788
ether	0.1073	0.7941
boisson_fermentee	0.0806	0.8000
camphre	0.0713	0.9600
miel	0.0565	0.8265
citronne	0.0672	0.9271
racine	0.0344	0.9688
oignon	0.2557	0.9368
crucifere	0.0805	0.8298
lacte	0.0498	0.8511
fleur_d_arbre	0.0571	0.8830
vin	0.0808	0.7391
fromage	0.0850	0.8333
poire	0.1066	0.7978
banane	0.0907	0.8046
champignon	0.0521	0.8488
cafe	0.0740	0.9529
cacao	0.0554	0.9167
musque	0.0818	0.8987
savon	0.0603	0.7821
beurre	0.0686	0.8442
noix_de_coco	0.0556	0.8933
anise	0.0360	0.9459
pin	0.0869	0.9726
vanille	0.0652	0.9167
jasmin	0.0517	0.9167
ambre	0.0748	0.9437
ail	0.1846	0.9853
musc	0.0868	0.9254
cereale	0.0538	0.9104
peche	0.0584	0.7612
cerise	0.0497	0.9231
violette	0.0483	0.8689
rhum	0.0564	0.7167

Mean Precision: 0.1629
