Label	Precision	Recall
vegetal	0.6605	0.8810
fruite	0.6092	0.8840
frais	0.5934	0.9077
vegetal_vert	0.5405	0.9145
doux	0.4299	0.9952
gras	0.4340	0.9566
floral	0.3998	0.9594
boise	0.3653	0.9856
vert	0.3913	0.7940
aldehyde	0.2611	0.9445
chimique	0.2255	0.9183
empyreumatique	0.3716	0.7768
balsamique	0.1850	0.9962
aldehyde_frais	0.2049	0.9567
fruit_exotique	0.2564	0.7686
herbe	0.1862	0.9656
legume	0.3733	0.5286
fermentaire	0.2135	0.6696
phenole	0.1957	0.9513
epice	0.1577	0.9906
fleur_d_arbuste	0.1684	0.9494
cuit	0.2435	0.7292
terreux	0.1445	0.8836
fruit_sec	0.1788	0.7827
fleur_du_jardin	0.1445	0.9574
agrume	0.1802	0.9164
oleagineux	0.1866	0.7791
lactique	0.1799	0.7305
soufre	0.7308	0.5241
plante_aromatique	0.1194	0.9146
animal	0.1075	0.7704
fruit_a_coque	0.1625	0.7925
moisi	0.1076	0.8132
fruit_a_pepins	0.1545	0.7817
torrefie	0.1921	0.7851
medicinal	0.1146	0.9710
vegetal_sec	0.0801	0.9912
rose	0.1160	0.9018
huile	0.1330	0.7466
lactone	0.1030	0.8227
menthe	0.1434	0.8673
bois	0.1108	0.9139
creme	0.0951	0.8462
boissons_alcoolisees	0.1359	0.7039
sucre_cuit	0.0914	0.8294
baie	0.0693	0.9281
poudre	0.0750	0.9695
viande_cuite	0.2658	0.5195
pomme	0.1331	0.8013
malte	0.1093	0.7933
mielle	0.0770	0.8857
solvant	0.1737	0.5606
ananas	0.1197	0.7054
fruit_rouge	0.0536	0.8672
coumarine	0.0627	0.9120
caramel	0.0932	0.8240
mineral	0.0594	0.7500
resineux	0.0965	0.8710
alliace	0.5565	0.5161
fruit_a_noyau	0.0673	0.7236
metal	0.0635	0.7686
metallique	0.0580	0.7563
peponide	0.0736	0.8636
melon	0.0726	0.8899
brule	0.0934	0.8505
feuille	0.0453	0.9524
alcool_de_fut	0.1052	0.7212
ether	0.1443	0.5644
boisson_fermentee	0.0734	0.6500
camphre	0.0727	0.9300
miel	0.0546	0.8454
citronne	0.0501	0.9792
racine	0.0497	0.7396
oignon	0.4404	0.5053
crucifere	0.1391	0.6170
lacte	0.0528	0.7634
fleur_d_arbre	0.0445	0.9247
vin	0.0735	0.6739
fromage	0.0967	0.6629
poire	0.0850	0.8182
banane	0.0873	0.7442
champignon	0.0531	0.6628
cafe	0.0872	0.7882
cacao	0.0543	0.7976
musque	0.0817	0.8354
savon	0.0511	0.8182
beurre	0.0603	0.5526
noix_de_coco	0.0681	0.8800
anise	0.0310	0.9726
pin	0.0751	0.9452
vanille	0.0494	0.8889
jasmin	0.0398	0.8611
ambre	0.0596	0.9577
ail	0.3438	0.4853
musc	0.0938	0.9254
cereale	0.0768	0.8358
peche	0.0472	0.7273
cerise	0.0366	0.9091
violette	0.0383	0.9333
rhum	0.0634	0.7000

Mean Precision: 0.1658
