Label	Precision	Recall
vegetal	0.6383	0.9316
fruite	0.6232	0.9085
frais	0.6083	0.9184
vegetal_vert	0.5417	0.9230
doux	0.4867	0.9034
gras	0.4551	0.9061
floral	0.4296	0.9370
boise	0.4443	0.8346
vert	0.3493	0.9433
aldehyde	0.2595	0.9316
chimique	0.2437	0.9125
empyreumatique	0.4227	0.7873
balsamique	0.2381	0.8653
aldehyde_frais	0.2093	0.9500
fruit_exotique	0.2197	0.9214
herbe	0.1909	0.9549
legume	0.2397	0.8220
fermentaire	0.1966	0.8304
phenole	0.2440	0.8426
epice	0.1856	0.9140
fleur_d_arbuste	0.1761	0.9560
cuit	0.2839	0.7610
terreux	0.1444	0.9129
fruit_sec	0.2192	0.6936
fleur_du_jardin	0.1502	0.9631
agrume	0.1718	0.9517
oleagineux	0.2289	0.7134
lactique	0.1743	0.8388
soufre	0.4429	0.8522
plante_aromatique	0.1423	0.8456
animal	0.1058	0.8450
fruit_a_coque	0.1775	0.7019
moisi	0.1048	0.8876
fruit_a_pepins	0.1456	0.9127
torrefie	0.2137	0.8354
medicinal	0.1495	0.8884
vegetal_sec	0.1090	0.8202
rose	0.1075	0.9643
huile	0.1134	0.8739
lactone	0.1067	0.8507
menthe	0.2123	0.7642
bois	0.1637	0.8190
creme	0.1036	0.8022
boissons_alcoolisees	0.1184	0.8757
sucre_cuit	0.1165	0.7412
baie	0.0642	0.9820
poudre	0.0945	0.9024
viande_cuite	0.2051	0.8323
pomme	0.1143	0.9671
malte	0.1118	0.8600
mielle	0.0744	0.9143
solvant	0.1523	0.7594
ananas	0.0858	0.9385
fruit_rouge	0.0698	0.9302
coumarine	0.1044	0.7087
caramel	0.1204	0.7540
mineral	0.0480	0.9840
resineux	0.1430	0.8548
alliace	0.3172	0.9440
fruit_a_noyau	0.0597	0.9516
metal	0.0495	0.9754
metallique	0.0483	0.9748
peponide	0.0598	0.9099
melon	0.0594	0.8899
brule	0.1154	0.8611
feuille	0.0472	0.9717
alcool_de_fut	0.0847	0.8846
ether	0.1180	0.8431
boisson_fermentee	0.0615	0.8600
camphre	0.1258	0.7900
miel	0.0557	0.8878
citronne	0.0538	0.9792
racine	0.0385	0.9271
oignon	0.2622	0.9479
crucifere	0.0879	0.8632
lacte	0.0505	0.8404
fleur_d_arbre	0.0481	0.9362
vin	0.0626	0.8913
fromage	0.0795	0.8222
poire	0.0773	0.9663
banane	0.0807	0.8966
champignon	0.0450	0.9425
cafe	0.1019	0.8235
cacao	0.0628	0.9286
musque	0.1047	0.8101
savon	0.0465	0.9231
beurre	0.0577	0.8831
noix_de_coco	0.1040	0.8289
anise	0.0467	0.8767
pin	0.0915	0.9041
vanille	0.0722	0.9028
jasmin	0.0384	0.9306
ambre	0.0601	0.9722
ail	0.1959	0.9853
musc	0.1115	0.8806
cereale	0.0751	0.8358
peche	0.0386	0.9552
cerise	0.0469	0.8485
violette	0.0299	1.0000
rhum	0.0450	0.9167

Mean Precision: 0.1621
