Label	Precision	Recall
vegetal	0.6304	0.9495
fruite	0.5794	0.9758
frais	0.5828	0.9497
vegetal_vert	0.5287	0.9484
doux	0.4349	0.9880
gras	0.4420	0.9361
floral	0.3975	0.9783
boise	0.3773	0.9779
vert	0.3585	0.9321
aldehyde	0.2595	0.9572
chimique	0.2240	0.9733
empyreumatique	0.4236	0.7634
balsamique	0.1949	0.9924
aldehyde_frais	0.2041	0.9626
fruit_exotique	0.1923	0.9597
herbe	0.1824	0.9699
legume	0.3810	0.4934
fermentaire	0.1855	0.9085
phenole	0.2298	0.8979
epice	0.1653	0.9696
fleur_d_arbuste	0.1626	0.9848
cuit	0.2717	0.7500
terreux	0.1696	0.7804
fruit_sec	0.1660	0.8802
fleur_du_jardin	0.1427	0.9858
agrume	0.1813	0.9222
oleagineux	0.2035	0.7970
lactique	0.1478	0.9281
soufre	0.6258	0.7034
plante_aromatique	0.1172	0.9466
animal	0.1548	0.5815
fruit_a_coque	0.2024	0.7094
moisi	0.1098	0.8132
fruit_a_pepins	0.1164	0.9921
torrefie	0.2427	0.7851
medicinal	0.1433	0.9170
vegetal_sec	0.0848	0.9956
rose	0.1080	0.9911
huile	0.1310	0.8281
lactone	0.0887	0.9591
menthe	0.1714	0.8341
bois	0.1303	0.9043
creme	0.0810	0.9505
boissons_alcoolisees	0.0990	0.9218
sucre_cuit	0.0823	0.9412
baie	0.0599	0.9940
poudre	0.0804	0.9512
viande_cuite	0.2882	0.6494
pomme	0.0875	1.0000
malte	0.1221	0.8333
mielle	0.0692	0.9643
solvant	0.1848	0.6439
ananas	0.0767	0.9845
fruit_rouge	0.0487	0.9766
coumarine	0.0682	0.9360
caramel	0.1073	0.8320
mineral	0.0626	0.8145
resineux	0.1104	0.9113
alliace	0.4627	0.7500
fruit_a_noyau	0.0510	0.9837
metal	0.0630	0.7934
metallique	0.0610	0.7899
peponide	0.0664	0.9091
melon	0.0698	0.8991
brule	0.1332	0.7383
feuille	0.0457	0.9810
alcool_de_fut	0.0780	0.9135
ether	0.1484	0.7228
boisson_fermentee	0.0541	0.9500
camphre	0.1127	0.8500
miel	0.0449	0.9897
citronne	0.0527	0.9583
racine	0.0499	0.8333
oignon	0.3632	0.7684
crucifere	0.1311	0.6277
lacte	0.0393	0.9677
fleur_d_arbre	0.0440	0.9785
vin	0.0539	0.9565
fromage	0.0824	0.9213
poire	0.0601	0.9545
banane	0.0630	0.9767
champignon	0.0590	0.6744
cafe	0.1383	0.6118
cacao	0.0602	0.9286
musque	0.2007	0.7722
savon	0.0389	0.9610
beurre	0.0457	0.9868
noix_de_coco	0.0571	0.9067
anise	0.0333	0.9863
pin	0.0724	0.9863
vanille	0.0500	0.9583
jasmin	0.0316	1.0000
ambre	0.0591	0.9859
ail	0.2880	0.7794
musc	0.2014	0.8806
cereale	0.1012	0.7463
peche	0.0310	1.0000
cerise	0.0312	1.0000
violette	0.0342	1.0000
rhum	0.0440	0.9000

Mean Precision: 0.1638
