Label	Precision	Recall
vegetal	0.6622	0.8864
fruite	0.7438	0.5567
frais	0.6549	0.8043
vegetal_vert	0.5963	0.8141
doux	0.4789	0.9042
gras	0.4605	0.8699
floral	0.5393	0.6412
boise	0.4049	0.9207
vert	0.4389	0.6674
aldehyde	0.3043	0.8283
chimique	0.2384	0.8687
empyreumatique	0.3650	0.8291
balsamique	0.2049	0.9810
aldehyde_frais	0.2442	0.8240
fruit_exotique	0.2781	0.7134
herbe	0.2230	0.8197
legume	0.2486	0.7692
fermentaire	0.2077	0.8304
phenole	0.2014	0.9352
epice	0.1972	0.8721
fleur_d_arbuste	0.2361	0.6503
cuit	0.2537	0.8000
terreux	0.1383	0.9393
fruit_sec	0.1518	0.9220
fleur_du_jardin	0.1896	0.7045
agrume	0.2252	0.7869
oleagineux	0.1515	0.9015
lactique	0.1767	0.8060
soufre	0.3511	0.9038
plante_aromatique	0.1286	0.8912
animal	0.1037	0.8450
fruit_a_coque	0.1476	0.8528
moisi	0.0964	0.9109
fruit_a_pepins	0.2500	0.6429
torrefie	0.1804	0.8930
medicinal	0.1175	0.9421
vegetal_sec	0.0860	0.9298
rose	0.1683	0.6875
huile	0.1357	0.7838
lactone	0.1107	0.8326
menthe	0.1052	0.9104
bois	0.1053	0.9143
creme	0.0952	0.8407
boissons_alcoolisees	0.1891	0.6893
sucre_cuit	0.1031	0.7706
baie	0.0836	0.7964
poudre	0.0951	0.8902
viande_cuite	0.1541	0.8710
pomme	0.1787	0.7632
malte	0.1025	0.8333
mielle	0.1320	0.7071
solvant	0.1500	0.7895
ananas	0.1369	0.6308
fruit_rouge	0.0745	0.5891
coumarine	0.0591	0.9291
caramel	0.0945	0.8175
mineral	0.0621	0.7040
resineux	0.0718	0.9355
alliace	0.3260	0.9440
fruit_a_noyau	0.0820	0.6774
metal	0.0638	0.7131
metallique	0.0592	0.7311
peponide	0.1156	0.6396
melon	0.1230	0.6330
brule	0.0861	0.9259
feuille	0.0704	0.5377
alcool_de_fut	0.1103	0.7212
ether	0.1270	0.7843
boisson_fermentee	0.1052	0.7100
camphre	0.0568	0.9200
miel	0.0947	0.7143
citronne	0.0649	0.8542
racine	0.0366	0.9167
oignon	0.2606	0.9583
crucifere	0.0911	0.8421
lacte	0.0436	0.7872
fleur_d_arbre	0.0735	0.7979
vin	0.1073	0.7174
fromage	0.0873	0.7333
poire	0.1455	0.7191
banane	0.1058	0.7816
champignon	0.0574	0.5747
cafe	0.0663	0.9176
cacao	0.0583	0.8690
musque	0.0530	0.9114
savon	0.0678	0.7821
beurre	0.0614	0.8442
noix_de_coco	0.0486	0.9079
anise	0.0400	0.9041
pin	0.0499	1.0000
vanille	0.0662	0.8750
jasmin	0.0524	0.7639
ambre	0.0522	0.9167
ail	0.1848	1.0000
musc	0.0571	0.9254
cereale	0.0499	0.8806
peche	0.0503	0.7463
cerise	0.0505	0.7576
violette	0.0504	0.8197
rhum	0.0688	0.6667

Mean Precision: 0.1671
