Label	Precision	Recall
vegetal	0.6474	0.9171
fruite	0.6354	0.8984
frais	0.6307	0.8861
vegetal_vert	0.5716	0.8821
doux	0.4698	0.9434
gras	0.4528	0.9115
floral	0.4481	0.9178
boise	0.4276	0.8837
vert	0.3909	0.8641
aldehyde	0.2878	0.8986
chimique	0.2738	0.8519
empyreumatique	0.3692	0.8463
balsamique	0.2127	0.9753
aldehyde_frais	0.2314	0.8812
fruit_exotique	0.2201	0.9131
herbe	0.2063	0.8836
legume	0.2595	0.8264
fermentaire	0.1852	0.9000
phenole	0.2565	0.8465
epice	0.1957	0.8159
fleur_d_arbuste	0.1934	0.9470
cuit	0.2355	0.8381
terreux	0.1444	0.9392
fruit_sec	0.1561	0.9278
fleur_du_jardin	0.1757	0.9261
agrume	0.2107	0.8433
oleagineux	0.1539	0.9401
lactique	0.1509	0.9129
soufre	0.3994	0.8591
plante_aromatique	0.1248	0.9158
animal	0.1303	0.7380
fruit_a_coque	0.1477	0.8453
moisi	0.1030	0.9612
fruit_a_pepins	0.1686	0.8730
torrefie	0.1796	0.8889
medicinal	0.1724	0.8843
vegetal_sec	0.0913	0.9649
rose	0.1222	0.9196
huile	0.1295	0.8243
lactone	0.0978	0.9502
menthe	0.1624	0.8768
bois	0.1441	0.8381
creme	0.0757	0.9392
boissons_alcoolisees	0.1352	0.8686
sucre_cuit	0.0945	0.9006
baie	0.0717	0.9401
poudre	0.0991	0.9207
viande_cuite	0.1821	0.8903
pomme	0.1354	0.8543
malte	0.0996	0.9205
mielle	0.1226	0.7643
solvant	0.1708	0.7744
ananas	0.0896	0.9385
fruit_rouge	0.0667	0.8837
coumarine	0.0632	0.9606
caramel	0.0900	0.8968
mineral	0.0609	0.8560
resineux	0.1280	0.8548
alliace	0.3171	0.9435
fruit_a_noyau	0.0698	0.9837
metal	0.0613	0.8361
metallique	0.0592	0.8500
peponide	0.0726	0.8018
melon	0.0720	0.7798
brule	0.1041	0.9346
feuille	0.0657	0.7830
alcool_de_fut	0.1049	0.8654
ether	0.1288	0.8235
boisson_fermentee	0.0692	0.8900
camphre	0.1099	0.8900
miel	0.0836	0.7551
citronne	0.0744	0.8438
racine	0.0377	0.9688
oignon	0.2459	0.9474
crucifere	0.0792	0.8632
lacte	0.0411	0.9355
fleur_d_arbre	0.0580	0.8298
vin	0.0719	0.8913
fromage	0.0687	0.9111
poire	0.0874	0.8989
banane	0.0865	0.9070
champignon	0.0464	0.9195
cafe	0.0940	0.9176
cacao	0.0537	0.9167
musque	0.1305	0.8500
savon	0.0480	0.9231
beurre	0.0522	0.8961
noix_de_coco	0.0596	0.9467
anise	0.0416	0.9054
pin	0.0964	0.9041
vanille	0.0744	0.9028
jasmin	0.0450	0.9722
ambre	0.0714	0.8451
ail	0.1803	0.9706
musc	0.1273	0.9265
cereale	0.0656	0.8971
peche	0.0382	0.9848
cerise	0.0533	0.9091
violette	0.0439	0.8852
rhum	0.0606	0.8500

Mean Precision: 0.1620
