Label	Precision	Recall
vegetal	0.6528	0.9052
fruite	0.6271	0.9150
frais	0.6229	0.9064
vegetal_vert	0.5659	0.9032
doux	0.4761	0.9384
gras	0.4487	0.9213
floral	0.4503	0.9274
boise	0.4275	0.9086
vert	0.3902	0.8808
aldehyde	0.2790	0.9223
chimique	0.2715	0.8383
empyreumatique	0.4193	0.7584
balsamique	0.2203	0.9677
aldehyde_frais	0.2400	0.8780
fruit_exotique	0.2147	0.9299
herbe	0.2155	0.8796
legume	0.3183	0.7621
fermentaire	0.1912	0.8750
phenole	0.2713	0.8283
epice	0.2068	0.8126
fleur_d_arbuste	0.1899	0.9620
cuit	0.2703	0.7448
terreux	0.1671	0.8439
fruit_sec	0.1621	0.8691
fleur_du_jardin	0.1685	0.9290
agrume	0.1802	0.9308
oleagineux	0.1686	0.8836
lactique	0.1507	0.9581
soufre	0.4958	0.8207
plante_aromatique	0.1379	0.8754
animal	0.1266	0.8296
fruit_a_coque	0.1874	0.7509
moisi	0.1098	0.8833
fruit_a_pepins	0.1560	0.9286
torrefie	0.2181	0.8264
medicinal	0.1765	0.8548
vegetal_sec	0.0905	0.9737
rose	0.1238	0.9420
huile	0.1054	0.9140
lactone	0.0970	0.9409
menthe	0.1887	0.8057
bois	0.1830	0.8469
creme	0.0811	0.9505
boissons_alcoolisees	0.1147	0.8883
sucre_cuit	0.1124	0.7765
baie	0.0814	0.8982
poudre	0.1161	0.8598
viande_cuite	0.2236	0.7987
pomme	0.1276	0.9603
malte	0.1162	0.8133
mielle	0.0949	0.8786
solvant	0.1473	0.8333
ananas	0.0953	0.9302
fruit_rouge	0.0738	0.8203
coumarine	0.0610	0.9440
caramel	0.1222	0.8160
mineral	0.0574	0.9274
resineux	0.1343	0.8548
alliace	0.3287	0.9435
fruit_a_noyau	0.0580	0.9512
metal	0.0580	0.9174
metallique	0.0570	0.9160
peponide	0.0749	0.8727
melon	0.0751	0.8899
brule	0.1217	0.8598
feuille	0.0586	0.7333
alcool_de_fut	0.0759	0.8942
ether	0.1222	0.8713
boisson_fermentee	0.0696	0.9400
camphre	0.1334	0.8300
miel	0.0648	0.8557
citronne	0.0655	0.9271
racine	0.0515	0.8021
oignon	0.2578	0.9579
crucifere	0.1071	0.7340
lacte	0.0436	0.9677
fleur_d_arbre	0.0565	0.8817
vin	0.0653	0.9565
fromage	0.0654	0.9326
poire	0.0702	0.9545
banane	0.0867	0.9419
champignon	0.0513	0.9070
cafe	0.1093	0.8706
cacao	0.0641	0.8929
musque	0.1813	0.7848
savon	0.0411	0.9351
beurre	0.0443	0.9605
noix_de_coco	0.0447	0.9600
anise	0.0472	0.7671
pin	0.1046	0.9041
vanille	0.0725	0.9306
jasmin	0.0380	0.9861
ambre	0.0663	0.9437
ail	0.1959	0.9853
musc	0.1891	0.8806
cereale	0.0729	0.8507
peche	0.0337	0.9697
cerise	0.0481	0.7879
violette	0.0463	0.9333
rhum	0.0685	0.7833

Mean Precision: 0.1681
