Label	Precision	Recall
vegetal	0.6574	0.8748
fruite	0.6316	0.8755
frais	0.6242	0.8672
vegetal_vert	0.5776	0.8728
doux	0.4594	0.9609
gras	0.4471	0.9107
floral	0.4522	0.9284
boise	0.4149	0.9288
vert	0.3810	0.8554
aldehyde	0.2905	0.8922
chimique	0.2251	0.9517
empyreumatique	0.3446	0.8691
balsamique	0.2063	0.9772
aldehyde_frais	0.2277	0.9004
fruit_exotique	0.2418	0.8641
herbe	0.2028	0.9120
legume	0.2679	0.7907
fermentaire	0.1828	0.8722
phenole	0.2172	0.8677
epice	0.1796	0.9254
fleur_d_arbuste	0.1902	0.9494
cuit	0.2328	0.8542
terreux	0.1379	0.9710
fruit_sec	0.1688	0.8399
fleur_du_jardin	0.1639	0.9460
agrume	0.2056	0.8718
oleagineux	0.1780	0.8373
lactique	0.1591	0.8716
soufre	0.4026	0.8483
plante_aromatique	0.1354	0.8732
animal	0.1302	0.7259
fruit_a_coque	0.1537	0.8377
moisi	0.1011	0.9070
fruit_a_pepins	0.1725	0.8810
torrefie	0.1634	0.9339
medicinal	0.1355	0.9170
vegetal_sec	0.0892	0.9693
rose	0.1249	0.9286
huile	0.1305	0.7613
lactone	0.0991	0.9005
menthe	0.1617	0.8483
bois	0.1427	0.8476
creme	0.0864	0.9011
boissons_alcoolisees	0.1171	0.7921
sucre_cuit	0.0922	0.8655
baie	0.0676	0.9455
poudre	0.0926	0.9085
viande_cuite	0.1665	0.8571
pomme	0.1311	0.8742
malte	0.0939	0.9200
mielle	0.0698	0.8714
solvant	0.1307	0.7820
ananas	0.0967	0.8992
fruit_rouge	0.0571	0.9457
coumarine	0.0622	0.9291
caramel	0.0932	0.8730
mineral	0.0571	0.8480
resineux	0.1068	0.8710
alliace	0.3196	0.9355
fruit_a_noyau	0.0672	0.9024
metal	0.0574	0.8197
metallique	0.0561	0.8319
peponide	0.0917	0.8364
melon	0.0914	0.8349
brule	0.0835	0.9346
feuille	0.0497	0.9434
alcool_de_fut	0.0792	0.8077
ether	0.1086	0.8039
boisson_fermentee	0.0672	0.8400
camphre	0.0741	0.9200
miel	0.0473	0.8980
citronne	0.0589	0.9271
racine	0.0338	0.9896
oignon	0.2535	0.9579
crucifere	0.0804	0.8085
lacte	0.0440	0.9362
fleur_d_arbre	0.0531	0.9043
vin	0.0667	0.8261
fromage	0.0742	0.8667
poire	0.0839	0.8876
banane	0.0760	0.8391
champignon	0.0485	0.8721
cafe	0.0779	0.9529
cacao	0.0535	0.9405
musque	0.1092	0.8101
savon	0.0583	0.8205
beurre	0.0575	0.8961
noix_de_coco	0.0521	0.9200
anise	0.0344	0.9595
pin	0.0919	0.9178
vanille	0.0655	0.9028
jasmin	0.0424	0.9861
ambre	0.0893	0.8732
ail	0.1902	0.9706
musc	0.1216	0.8657
cereale	0.0581	0.9104
peche	0.0429	0.8955
cerise	0.0398	0.9231
violette	0.0386	0.9180
rhum	0.0452	0.8000

Mean Precision: 0.1567
