Label	Precision	Recall
vegetal	0.6487	0.9141
fruite	0.5958	0.9411
frais	0.5967	0.9249
vegetal_vert	0.5534	0.9004
doux	0.4622	0.9384
gras	0.4371	0.9533
floral	0.4302	0.9387
boise	0.4231	0.8903
vert	0.3380	0.9588
aldehyde	0.2786	0.9144
chimique	0.2184	0.9767
empyreumatique	0.3481	0.8456
balsamique	0.2024	0.9791
aldehyde_frais	0.2218	0.9331
fruit_exotique	0.2063	0.9278
herbe	0.1972	0.9247
legume	0.1951	0.9031
fermentaire	0.1733	0.9219
phenole	0.2267	0.8585
epice	0.1742	0.9485
fleur_d_arbuste	0.1718	0.9646
cuit	0.2337	0.7917
terreux	0.1373	0.9762
fruit_sec	0.1585	0.8440
fleur_du_jardin	0.1531	0.9574
agrume	0.1725	0.9395
oleagineux	0.1591	0.8269
lactique	0.1461	0.9042
soufre	0.4353	0.8345
plante_aromatique	0.1247	0.8790
animal	0.1021	0.7852
fruit_a_coque	0.1591	0.7774
moisi	0.1005	0.9261
fruit_a_pepins	0.1375	0.9524
torrefie	0.1767	0.8512
medicinal	0.1356	0.8921
vegetal_sec	0.0890	0.9430
rose	0.1026	0.9688
huile	0.1071	0.8869
lactone	0.0873	0.9636
menthe	0.1600	0.8104
bois	0.1728	0.8038
creme	0.0739	0.9505
boissons_alcoolisees	0.0976	0.9274
sucre_cuit	0.0973	0.8059
baie	0.0668	0.9461
poudre	0.0917	0.8841
viande_cuite	0.1558	0.8052
pomme	0.1097	0.9007
malte	0.1046	0.8933
mielle	0.0780	0.9000
solvant	0.0877	0.8636
ananas	0.0801	0.9225
fruit_rouge	0.0507	0.9844
coumarine	0.0603	0.9520
caramel	0.0994	0.8880
mineral	0.0489	0.9597
resineux	0.1253	0.8306
alliace	0.3065	0.9516
fruit_a_noyau	0.0544	0.9431
metal	0.0488	0.9504
metallique	0.0472	0.9496
peponide	0.0626	0.8909
melon	0.0614	0.8899
brule	0.0946	0.8972
feuille	0.0422	0.9905
alcool_de_fut	0.0758	0.8654
ether	0.0735	0.8515
boisson_fermentee	0.0544	0.9300
camphre	0.0927	0.8700
miel	0.0521	0.9175
citronne	0.0527	0.9479
racine	0.0340	0.9792
oignon	0.2401	0.9579
crucifere	0.0845	0.8191
lacte	0.0418	0.9140
fleur_d_arbre	0.0457	0.9247
vin	0.0493	0.9239
fromage	0.0656	0.8876
poire	0.0693	0.8977
banane	0.0626	0.8953
champignon	0.0398	0.8721
cafe	0.0735	0.9176
cacao	0.0529	0.9405
musque	0.1139	0.8101
savon	0.0417	0.9091
beurre	0.0424	0.9474
noix_de_coco	0.0419	0.9467
anise	0.0389	0.9178
pin	0.0886	0.9041
vanille	0.0536	0.8750
jasmin	0.0359	0.9722
ambre	0.0710	0.9296
ail	0.1754	0.9853
musc	0.1285	0.8806
cereale	0.0600	0.8806
peche	0.0320	0.9394
cerise	0.0358	0.9091
violette	0.0333	0.9667
rhum	0.0430	0.8667

Mean Precision: 0.1479
