Label	Precision	Recall
vegetal	0.6619	0.8736
fruite	0.6228	0.9145
frais	0.6371	0.8666
vegetal_vert	0.5791	0.8763
doux	0.4821	0.9362
gras	0.4493	0.9328
floral	0.4717	0.9255
boise	0.4666	0.8479
vert	0.3787	0.8747
aldehyde	0.2982	0.9113
chimique	0.2725	0.8769
empyreumatique	0.3807	0.8456
balsamique	0.2485	0.9525
aldehyde_frais	0.2366	0.9064
fruit_exotique	0.2370	0.8917
herbe	0.2150	0.8970
legume	0.2825	0.8040
fermentaire	0.1900	0.9119
phenole	0.2635	0.8376
epice	0.2025	0.8601
fleur_d_arbuste	0.2014	0.9646
cuit	0.2594	0.8438
terreux	0.1661	0.8549
fruit_sec	0.1664	0.8792
fleur_du_jardin	0.1791	0.9290
agrume	0.2089	0.9003
oleagineux	0.1758	0.9006
lactique	0.1535	0.9134
soufre	0.4481	0.8483
plante_aromatique	0.1613	0.8134
animal	0.1467	0.8111
fruit_a_coque	0.1627	0.8528
moisi	0.1098	0.8992
fruit_a_pepins	0.1595	0.8968
torrefie	0.1799	0.9091
medicinal	0.1796	0.8548
vegetal_sec	0.0992	0.9123
rose	0.1314	0.9464
huile	0.1099	0.8829
lactone	0.1099	0.9321
menthe	0.2110	0.8152
bois	0.1754	0.8143
creme	0.0894	0.9286
boissons_alcoolisees	0.1175	0.9045
sucre_cuit	0.1046	0.8713
baie	0.0778	0.9394
poudre	0.1108	0.8780
viande_cuite	0.1982	0.8701
pomme	0.1350	0.9536
malte	0.1018	0.9267
mielle	0.0825	0.8714
solvant	0.1373	0.8797
ananas	0.0948	0.9302
fruit_rouge	0.0722	0.9457
coumarine	0.0796	0.9606
caramel	0.1001	0.9365
mineral	0.0589	0.9280
resineux	0.1448	0.8387
alliace	0.3268	0.9435
fruit_a_noyau	0.0671	0.9512
metal	0.0604	0.9262
metallique	0.0588	0.9328
peponide	0.0821	0.8727
melon	0.0810	0.8716
brule	0.0991	0.9252
feuille	0.0541	0.9434
alcool_de_fut	0.0825	0.9135
ether	0.1170	0.9118
boisson_fermentee	0.0661	0.9300
camphre	0.1245	0.8700
miel	0.0538	0.9082
citronne	0.0757	0.9167
racine	0.0434	0.8854
oignon	0.2622	0.9579
crucifere	0.0964	0.8511
lacte	0.0438	0.9681
fleur_d_arbre	0.0549	0.8936
vin	0.0663	0.9457
fromage	0.0711	0.9222
poire	0.0811	0.9663
banane	0.0827	0.9310
champignon	0.0489	0.8488
cafe	0.0946	0.9294
cacao	0.0587	0.9286
musque	0.1715	0.8228
savon	0.0498	0.9103
beurre	0.0500	0.9221
noix_de_coco	0.0658	0.9200
anise	0.0423	0.9459
pin	0.1261	0.9452
vanille	0.0683	0.9583
jasmin	0.0450	0.9861
ambre	0.1053	0.9155
ail	0.1971	0.9853
musc	0.1869	0.8955
cereale	0.0675	0.8806
peche	0.0435	0.9701
cerise	0.0461	0.9077
violette	0.0430	0.9508
rhum	0.0527	0.9167

Mean Precision: 0.1689
