Label	Precision	Recall
vegetal	0.6508	0.8988
fruite	0.6040	0.9259
frais	0.6159	0.8840
vegetal_vert	0.5658	0.8686
doux	0.4627	0.9545
gras	0.4456	0.9176
floral	0.4424	0.9122
boise	0.4646	0.7955
vert	0.3522	0.9221
aldehyde	0.2790	0.8998
chimique	0.2339	0.9125
empyreumatique	0.3917	0.8358
balsamique	0.2255	0.8899
aldehyde_frais	0.2210	0.9000
fruit_exotique	0.2004	0.9342
herbe	0.1982	0.9056
legume	0.2442	0.8264
fermentaire	0.1926	0.8656
phenole	0.2421	0.8356
epice	0.2019	0.8000
fleur_d_arbuste	0.1872	0.9352
cuit	0.2504	0.8286
terreux	0.1489	0.9156
fruit_sec	0.1478	0.9499
fleur_du_jardin	0.1576	0.9517
agrume	0.1891	0.9062
oleagineux	0.1390	0.9522
lactique	0.1407	0.9582
soufre	0.4276	0.8729
plante_aromatique	0.1437	0.8140
animal	0.1277	0.7528
fruit_a_coque	0.1531	0.8151
moisi	0.1055	0.8915
fruit_a_pepins	0.1399	0.9365
torrefie	0.1945	0.9095
medicinal	0.1532	0.8388
vegetal_sec	0.0954	0.8772
rose	0.1150	0.9420
huile	0.1081	0.8874
lactone	0.0898	0.9548
menthe	0.2095	0.7500
bois	0.2065	0.7238
creme	0.0778	0.9560
boissons_alcoolisees	0.1057	0.9153
sucre_cuit	0.0950	0.8353
baie	0.0667	0.9401
poudre	0.1016	0.8537
viande_cuite	0.1727	0.8581
pomme	0.1220	0.9605
malte	0.0998	0.9000
mielle	0.0870	0.8143
solvant	0.1092	0.8647
ananas	0.0764	0.9231
fruit_rouge	0.0597	0.9457
coumarine	0.0589	0.9055
caramel	0.0935	0.8730
mineral	0.0517	0.9600
resineux	0.1588	0.7823
alliace	0.3207	0.9440
fruit_a_noyau	0.0561	0.9355
metal	0.0526	0.9508
metallique	0.0494	0.9664
peponide	0.0646	0.9189
melon	0.0631	0.9083
brule	0.1029	0.8981
feuille	0.0495	0.9811
alcool_de_fut	0.0718	0.9038
ether	0.0891	0.9020
boisson_fermentee	0.0545	0.9500
camphre	0.1360	0.7700
miel	0.0603	0.8265
citronne	0.0568	0.9583
racine	0.0414	0.8958
oignon	0.2534	0.9583
crucifere	0.0890	0.8421
lacte	0.0386	0.9574
fleur_d_arbre	0.0557	0.8191
vin	0.0587	0.8913
fromage	0.0616	0.9000
poire	0.0764	0.9438
banane	0.0676	0.9195
champignon	0.0429	0.9195
cafe	0.0827	0.8941
cacao	0.0558	0.9405
musque	0.1821	0.7215
savon	0.0451	0.8718
beurre	0.0384	0.9351
noix_de_coco	0.0379	0.9737
anise	0.0418	0.8356
pin	0.1045	0.8356
vanille	0.0648	0.8889
jasmin	0.0404	0.9583
ambre	0.0883	0.8611
ail	0.1877	0.9853
musc	0.1849	0.8060
cereale	0.0601	0.8806
peche	0.0337	0.9552
cerise	0.0400	0.8333
violette	0.0355	0.9344
rhum	0.0378	0.9833

Mean Precision: 0.1578
