Label	Precision	Recall
vegetal	0.6671	0.8643
fruite	0.6260	0.8151
frais	0.6372	0.8349
vegetal_vert	0.5824	0.8367
doux	0.4505	0.9832
gras	0.4449	0.9176
floral	0.4337	0.9027
boise	0.4068	0.9100
vert	0.3755	0.8621
aldehyde	0.2816	0.8967
chimique	0.2210	0.9158
empyreumatique	0.3697	0.8576
balsamique	0.1980	0.9639
aldehyde_frais	0.2224	0.8840
fruit_exotique	0.2467	0.7919
herbe	0.1929	0.9313
legume	0.2630	0.7560
fermentaire	0.2038	0.7467
phenole	0.2203	0.8681
epice	0.1739	0.9465
fleur_d_arbuste	0.1785	0.9249
cuit	0.2428	0.8104
terreux	0.1359	0.9683
fruit_sec	0.1692	0.7549
fleur_du_jardin	0.1611	0.9318
agrume	0.1835	0.8920
oleagineux	0.1773	0.7642
lactique	0.1538	0.7701
soufre	0.4256	0.8351
plante_aromatique	0.1429	0.8140
animal	0.0960	0.9410
fruit_a_coque	0.1577	0.7736
moisi	0.1022	0.8217
fruit_a_pepins	0.1831	0.8016
torrefie	0.1814	0.8971
medicinal	0.1245	0.8512
vegetal_sec	0.0911	0.9386
rose	0.1094	0.9286
huile	0.1064	0.8649
lactone	0.0902	0.9231
menthe	0.1454	0.8349
bois	0.1247	0.8619
creme	0.0736	0.6429
boissons_alcoolisees	0.1107	0.8305
sucre_cuit	0.0877	0.8294
baie	0.0630	0.9281
poudre	0.0777	0.9634
viande_cuite	0.1575	0.8645
pomme	0.1289	0.8684
malte	0.0968	0.9200
mielle	0.0674	0.9071
solvant	0.1326	0.7669
ananas	0.0962	0.7692
fruit_rouge	0.0602	0.8217
coumarine	0.0571	0.8819
caramel	0.0879	0.8413
mineral	0.0496	0.9360
resineux	0.0897	0.9032
alliace	0.2955	0.9360
fruit_a_noyau	0.0610	0.9194
metal	0.0527	0.8279
metallique	0.0489	0.9244
peponide	0.0789	0.8198
melon	0.0751	0.8532
brule	0.0818	0.9352
feuille	0.0527	0.8962
alcool_de_fut	0.0743	0.8365
ether	0.0915	0.7647
boisson_fermentee	0.0675	0.8000
camphre	0.0686	0.8800
miel	0.0452	0.9082
citronne	0.0565	0.9375
racine	0.0359	0.9375
oignon	0.2316	0.9479
crucifere	0.0911	0.7895
lacte	0.0365	0.8617
fleur_d_arbre	0.0474	0.9255
vin	0.0675	0.8152
fromage	0.0830	0.8111
poire	0.0858	0.8989
banane	0.0727	0.7931
champignon	0.0479	0.7356
cafe	0.0746	0.9176
cacao	0.0542	0.9286
musque	0.0493	0.8608
savon	0.0526	0.8590
beurre	0.0408	0.7662
noix_de_coco	0.0513	0.8684
anise	0.0426	0.8493
pin	0.0701	0.9178
vanille	0.0514	0.9028
jasmin	0.0362	0.9861
ambre	0.0500	0.9722
ail	0.1813	0.9706
musc	0.0446	0.9254
cereale	0.0517	0.9104
peche	0.0329	0.9254
cerise	0.0426	0.8182
violette	0.0302	0.9508
rhum	0.0429	0.8333

Mean Precision: 0.1509
