Label	Precision	Recall
vegetal	0.6604	0.8932
fruite	0.6458	0.8482
frais	0.6193	0.8897
vegetal_vert	0.5691	0.8787
doux	0.5094	0.8643
gras	0.4540	0.9247
floral	0.4620	0.9227
boise	0.4172	0.9135
vert	0.3888	0.8516
aldehyde	0.2830	0.9254
chimique	0.2474	0.8967
empyreumatique	0.4030	0.8088
balsamique	0.2505	0.8878
aldehyde_frais	0.2198	0.9347
fruit_exotique	0.2572	0.8535
herbe	0.1970	0.9287
legume	0.2717	0.8150
fermentaire	0.2159	0.8194
phenole	0.2261	0.9182
epice	0.1808	0.9487
fleur_d_arbuste	0.1925	0.9541
cuit	0.2826	0.7839
terreux	0.1555	0.8942
fruit_sec	0.1891	0.8045
fleur_du_jardin	0.1649	0.9460
agrume	0.1854	0.9060
oleagineux	0.1904	0.8363
lactique	0.1731	0.8567
soufre	0.4816	0.8552
plante_aromatique	0.1243	0.9228
animal	0.1178	0.8333
fruit_a_coque	0.1644	0.8258
moisi	0.1109	0.8560
fruit_a_pepins	0.1732	0.8730
torrefie	0.1893	0.8595
medicinal	0.1414	0.9545
vegetal_sec	0.0911	0.9518
rose	0.1187	0.9464
huile	0.1380	0.7783
lactone	0.1199	0.8914
menthe	0.1311	0.9005
bois	0.1363	0.9139
creme	0.0986	0.8674
boissons_alcoolisees	0.1438	0.7657
sucre_cuit	0.1113	0.7765
baie	0.0824	0.8735
poudre	0.1004	0.9207
viande_cuite	0.1885	0.8506
pomme	0.1266	0.9139
malte	0.1086	0.8675
mielle	0.1006	0.8357
solvant	0.1455	0.7594
ananas	0.1306	0.8692
fruit_rouge	0.0769	0.8450
coumarine	0.0779	0.9365
caramel	0.1118	0.8240
mineral	0.0616	0.9360
resineux	0.1022	0.9194
alliace	0.3186	0.9350
fruit_a_noyau	0.0785	0.8862
metal	0.0637	0.9256
metallique	0.0621	0.9160
peponide	0.0729	0.8273
melon	0.0731	0.8333
brule	0.0961	0.9252
feuille	0.0550	0.9238
alcool_de_fut	0.0938	0.7981
ether	0.1250	0.8119
boisson_fermentee	0.0880	0.8100
camphre	0.0829	0.9800
miel	0.0753	0.7938
citronne	0.0615	0.9792
racine	0.0455	0.8958
oignon	0.2630	0.9579
crucifere	0.1179	0.7979
lacte	0.0510	0.7979
fleur_d_arbre	0.0543	0.8925
vin	0.0908	0.8370
fromage	0.0831	0.8989
poire	0.0848	0.8764
banane	0.0912	0.8837
champignon	0.0534	0.8605
cafe	0.0828	0.9167
cacao	0.0617	0.9167
musque	0.1135	0.8734
savon	0.0529	0.8701
beurre	0.0674	0.8052
noix_de_coco	0.0707	0.9067
anise	0.0405	0.9189
pin	0.0826	0.9444
vanille	0.0730	0.9167
jasmin	0.0545	0.9444
ambre	0.0798	0.9014
ail	0.1935	0.9706
musc	0.1276	0.9104
cereale	0.0661	0.9104
peche	0.0502	0.9091
cerise	0.0498	0.8923
violette	0.0371	0.9508
rhum	0.0645	0.7833

Mean Precision: 0.1667
