Label	Precision	Recall
vegetal	0.6654	0.8666
fruite	0.6636	0.7968
frais	0.6457	0.8574
vegetal_vert	0.5912	0.8553
doux	0.4858	0.9147
gras	0.4656	0.8755
floral	0.4866	0.8724
boise	0.4246	0.8885
vert	0.4010	0.8363
aldehyde	0.2996	0.8780
chimique	0.2361	0.9501
empyreumatique	0.3716	0.8429
balsamique	0.2239	0.9677
aldehyde_frais	0.2325	0.8891
fruit_exotique	0.2553	0.8750
herbe	0.2112	0.8944
legume	0.2363	0.8549
fermentaire	0.1941	0.8978
phenole	0.2443	0.9000
epice	0.1979	0.8834
fleur_d_arbuste	0.2077	0.8939
cuit	0.2502	0.8251
terreux	0.1428	0.9630
fruit_sec	0.1731	0.8917
fleur_du_jardin	0.1780	0.9006
agrume	0.2208	0.8661
oleagineux	0.1744	0.8982
lactique	0.1660	0.8859
soufre	0.3563	0.8900
plante_aromatique	0.1389	0.8526
animal	0.1178	0.8782
fruit_a_coque	0.1510	0.8566
moisi	0.1024	0.9380
fruit_a_pepins	0.1659	0.9008
torrefie	0.1797	0.9053
medicinal	0.1510	0.9504
vegetal_sec	0.0980	0.9561
rose	0.1290	0.8973
huile	0.1360	0.7928
lactone	0.1266	0.8914
menthe	0.1747	0.8578
bois	0.1521	0.8143
creme	0.0902	0.9116
boissons_alcoolisees	0.1412	0.8800
sucre_cuit	0.1018	0.8947
baie	0.0782	0.8922
poudre	0.1012	0.9085
viande_cuite	0.1720	0.8968
pomme	0.1206	0.9470
malte	0.1038	0.9007
mielle	0.1027	0.8143
solvant	0.1250	0.8797
ananas	0.0976	0.9231
fruit_rouge	0.0662	0.9612
coumarine	0.0762	0.9291
caramel	0.1046	0.8810
mineral	0.0550	0.8800
resineux	0.1148	0.8548
alliace	0.2742	0.9597
fruit_a_noyau	0.0781	0.8699
metal	0.0554	0.8689
metallique	0.0531	0.8917
peponide	0.0703	0.8198
melon	0.0707	0.8349
brule	0.0953	0.9252
feuille	0.0580	0.9151
alcool_de_fut	0.0958	0.8846
ether	0.1075	0.8725
boisson_fermentee	0.0714	0.8700
camphre	0.0944	0.9400
miel	0.0689	0.8265
citronne	0.0680	0.9271
racine	0.0342	0.9792
oignon	0.2206	0.9684
crucifere	0.0741	0.8632
lacte	0.0506	0.8495
fleur_d_arbre	0.0643	0.8191
vin	0.0731	0.8913
fromage	0.0721	0.8889
poire	0.0761	0.9438
banane	0.0738	0.8953
champignon	0.0496	0.9080
cafe	0.0852	0.9882
cacao	0.0611	0.9286
musque	0.1023	0.9000
savon	0.0506	0.8590
beurre	0.0565	0.8571
noix_de_coco	0.0835	0.9067
anise	0.0410	0.9459
pin	0.0946	0.9315
vanille	0.0756	0.9167
jasmin	0.0626	0.8889
ambre	0.0768	0.9155
ail	0.1692	0.9853
musc	0.1248	0.9412
cereale	0.0610	0.9118
peche	0.0480	0.9091
cerise	0.0456	0.9091
violette	0.0420	0.9016
rhum	0.0523	0.8500

Mean Precision: 0.1626
