Label	Precision	Recall
vegetal	0.6758	0.8422
fruite	0.6366	0.8693
frais	0.6513	0.8345
vegetal_vert	0.5972	0.8454
doux	0.4656	0.9402
gras	0.4623	0.8976
floral	0.4625	0.8913
boise	0.4195	0.8769
vert	0.3956	0.8296
aldehyde	0.2999	0.8716
chimique	0.2648	0.8270
empyreumatique	0.3718	0.8328
balsamique	0.2077	0.9829
aldehyde_frais	0.2411	0.8673
fruit_exotique	0.2398	0.8983
herbe	0.2144	0.8685
legume	0.2785	0.7560
fermentaire	0.2040	0.7978
phenole	0.2412	0.8767
epice	0.1925	0.8531
fleur_d_arbuste	0.1967	0.9268
cuit	0.2371	0.8146
terreux	0.1536	0.8677
fruit_sec	0.1628	0.8917
fleur_du_jardin	0.1679	0.9261
agrume	0.2073	0.8547
oleagineux	0.1634	0.8772
lactique	0.1456	0.9249
soufre	0.4677	0.8213
plante_aromatique	0.1332	0.8667
animal	0.1244	0.7675
fruit_a_coque	0.1571	0.8377
moisi	0.1084	0.8217
fruit_a_pepins	0.1565	0.8929
torrefie	0.1830	0.9053
medicinal	0.1567	0.9091
vegetal_sec	0.0948	0.9605
rose	0.1233	0.9062
huile	0.1222	0.8288
lactone	0.1019	0.9367
menthe	0.1733	0.8483
bois	0.1540	0.8476
creme	0.0776	0.9503
boissons_alcoolisees	0.1375	0.8514
sucre_cuit	0.0947	0.9006
baie	0.0770	0.9042
poudre	0.0903	0.9207
viande_cuite	0.1810	0.8839
pomme	0.1207	0.9536
malte	0.0986	0.8742
mielle	0.0928	0.8500
solvant	0.1493	0.7970
ananas	0.1016	0.9077
fruit_rouge	0.0652	0.9070
coumarine	0.0638	0.9528
caramel	0.0918	0.8730
mineral	0.0597	0.8640
resineux	0.1166	0.8548
alliace	0.3286	0.9274
fruit_a_noyau	0.0690	0.9268
metal	0.0621	0.8197
metallique	0.0580	0.8500
peponide	0.0738	0.8108
melon	0.0761	0.8165
brule	0.0999	0.9346
feuille	0.0580	0.8396
alcool_de_fut	0.0982	0.8846
ether	0.1228	0.8137
boisson_fermentee	0.0681	0.8600
camphre	0.0954	0.9200
miel	0.0633	0.8265
citronne	0.0687	0.9375
racine	0.0392	0.8854
oignon	0.2655	0.9474
crucifere	0.1011	0.7895
lacte	0.0415	0.9462
fleur_d_arbre	0.0518	0.8511
vin	0.0694	0.8913
fromage	0.0783	0.8667
poire	0.0801	0.8989
banane	0.0789	0.8721
champignon	0.0574	0.8621
cafe	0.0877	0.9765
cacao	0.0564	0.9167
musque	0.1041	0.8250
savon	0.0453	0.8846
beurre	0.0510	0.9221
noix_de_coco	0.0512	0.9600
anise	0.0401	0.8919
pin	0.0933	0.9315
vanille	0.0647	0.9028
jasmin	0.0439	0.9583
ambre	0.0602	0.9296
ail	0.2025	0.9559
musc	0.1178	0.9265
cereale	0.0603	0.8971
peche	0.0395	0.9545
cerise	0.0475	0.9242
violette	0.0381	0.9016
rhum	0.0582	0.8167

Mean Precision: 0.1630
