Label	Precision	Recall
vegetal	0.6772	0.8653
fruite	0.6317	0.8790
frais	0.6445	0.8460
vegetal_vert	0.5837	0.8715
doux	0.4599	0.9616
gras	0.4625	0.8951
floral	0.4599	0.9208
boise	0.4147	0.9451
vert	0.4063	0.8330
aldehyde	0.2955	0.8875
chimique	0.2465	0.9300
empyreumatique	0.3444	0.8557
balsamique	0.2124	0.9810
aldehyde_frais	0.2394	0.8898
fruit_exotique	0.2370	0.9023
herbe	0.2155	0.9054
legume	0.3155	0.7665
fermentaire	0.1839	0.9174
phenole	0.2448	0.9026
epice	0.1901	0.8806
fleur_d_arbuste	0.2101	0.9468
cuit	0.2265	0.8229
terreux	0.1628	0.8730
fruit_sec	0.1640	0.9053
fleur_du_jardin	0.1801	0.9318
agrume	0.2106	0.8588
oleagineux	0.1792	0.8866
lactique	0.1606	0.9192
soufre	0.4732	0.8207
plante_aromatique	0.1479	0.8078
animal	0.1295	0.8444
fruit_a_coque	0.1576	0.8226
moisi	0.1094	0.8988
fruit_a_pepins	0.1606	0.9325
torrefie	0.1830	0.9174
medicinal	0.1545	0.9212
vegetal_sec	0.0972	0.9430
rose	0.1427	0.9196
huile	0.1305	0.8190
lactone	0.1081	0.8955
menthe	0.1818	0.8436
bois	0.1854	0.8038
creme	0.0868	0.9286
boissons_alcoolisees	0.1120	0.8827
sucre_cuit	0.0840	0.9471
baie	0.0769	0.9461
poudre	0.0929	0.9146
viande_cuite	0.1975	0.8377
pomme	0.1249	0.9603
malte	0.1006	0.9533
mielle	0.0840	0.9286
solvant	0.1396	0.8258
ananas	0.0959	0.9457
fruit_rouge	0.0576	0.9688
coumarine	0.0809	0.8880
caramel	0.0835	0.9360
mineral	0.0663	0.8306
resineux	0.1436	0.8468
alliace	0.3138	0.9516
fruit_a_noyau	0.0692	0.9512
metal	0.0675	0.8264
metallique	0.0666	0.8235
peponide	0.0821	0.8545
melon	0.0848	0.8624
brule	0.0923	0.9252
feuille	0.0548	0.9143
alcool_de_fut	0.0797	0.8846
ether	0.1252	0.8515
boisson_fermentee	0.0658	0.9300
camphre	0.1107	0.9000
miel	0.0571	0.9381
citronne	0.0713	0.9062
racine	0.0492	0.9271
oignon	0.2473	0.9684
crucifere	0.0923	0.7872
lacte	0.0453	0.9570
fleur_d_arbre	0.0568	0.9355
vin	0.0655	0.9457
fromage	0.0733	0.9213
poire	0.0747	0.9318
banane	0.0800	0.9419
champignon	0.0542	0.8837
cafe	0.0915	0.9529
cacao	0.0546	0.9524
musque	0.1432	0.7848
savon	0.0452	0.8961
beurre	0.0496	0.9474
noix_de_coco	0.0710	0.9200
anise	0.0361	0.9589
pin	0.1138	0.9178
vanille	0.0524	0.9861
jasmin	0.0442	0.9722
ambre	0.0799	0.9437
ail	0.1826	0.9853
musc	0.1554	0.8955
cereale	0.0688	0.9254
peche	0.0411	0.9545
cerise	0.0381	0.9848
violette	0.0549	0.9167
rhum	0.0530	0.9167

Mean Precision: 0.1650
