Label	Precision	Recall
vegetal	0.6584	0.9017
fruite	0.6365	0.8810
frais	0.6168	0.8955
vegetal_vert	0.5626	0.8922
doux	0.4784	0.9178
gras	0.4744	0.8714
floral	0.4690	0.9133
boise	0.4179	0.9346
vert	0.3736	0.8834
aldehyde	0.2873	0.9238
chimique	0.2401	0.9350
empyreumatique	0.4207	0.7986
balsamique	0.2313	0.9468
aldehyde_frais	0.2252	0.9248
fruit_exotique	0.2308	0.9002
herbe	0.1997	0.9201
legume	0.3076	0.7357
fermentaire	0.2115	0.8480
phenole	0.2385	0.9182
epice	0.1916	0.9161
fleur_d_arbuste	0.2044	0.9439
cuit	0.2778	0.7943
terreux	0.1595	0.8889
fruit_sec	0.2067	0.7793
fleur_du_jardin	0.1724	0.9460
agrume	0.1854	0.9259
oleagineux	0.2211	0.7976
lactique	0.1722	0.8209
soufre	0.5432	0.8241
plante_aromatique	0.1374	0.8667
animal	0.1310	0.7519
fruit_a_coque	0.1812	0.7538
moisi	0.1165	0.8249
fruit_a_pepins	0.1555	0.9206
torrefie	0.2010	0.8347
medicinal	0.1443	0.9421
vegetal_sec	0.0921	0.9561
rose	0.1319	0.9330
huile	0.1355	0.7828
lactone	0.1192	0.8869
menthe	0.1483	0.8863
bois	0.1308	0.9234
creme	0.1031	0.8729
boissons_alcoolisees	0.1220	0.8857
sucre_cuit	0.1053	0.8765
baie	0.0745	0.9578
poudre	0.1046	0.8963
viande_cuite	0.2434	0.8377
pomme	0.1154	0.9735
malte	0.1157	0.8675
mielle	0.0878	0.8571
solvant	0.1311	0.8346
ananas	0.1053	0.9462
fruit_rouge	0.0706	0.9535
coumarine	0.0884	0.9286
caramel	0.1036	0.8560
mineral	0.0648	0.8640
resineux	0.1013	0.9758
alliace	0.3363	0.9268
fruit_a_noyau	0.0696	0.9187
metal	0.0656	0.8264
metallique	0.0644	0.8151
peponide	0.0721	0.8636
melon	0.0717	0.8704
brule	0.1105	0.8785
feuille	0.0557	0.9333
alcool_de_fut	0.0866	0.9231
ether	0.1051	0.8812
boisson_fermentee	0.0717	0.8700
camphre	0.0945	0.9300
miel	0.0580	0.8866
citronne	0.0628	0.9896
racine	0.0391	0.9583
oignon	0.2725	0.9579
crucifere	0.1176	0.7766
lacte	0.0532	0.7872
fleur_d_arbre	0.0592	0.8817
vin	0.0747	0.8804
fromage	0.0790	0.9326
poire	0.0799	0.9101
banane	0.0747	0.9651
champignon	0.0592	0.8023
cafe	0.1001	0.9048
cacao	0.0663	0.8929
musque	0.1222	0.8861
savon	0.0529	0.9091
beurre	0.0569	0.8442
noix_de_coco	0.0742	0.8800
anise	0.0402	0.9324
pin	0.0755	0.9861
vanille	0.0907	0.9306
jasmin	0.0511	0.9306
ambre	0.0742	0.9437
ail	0.2043	0.9706
musc	0.1204	0.9254
cereale	0.0694	0.8955
peche	0.0448	0.9697
cerise	0.0523	0.8923
violette	0.0410	0.9508
rhum	0.0486	0.9000

Mean Precision: 0.1679
