Label	Precision	Recall
vegetal	0.6423	0.9194
fruite	0.6255	0.9095
frais	0.6131	0.9147
vegetal_vert	0.5670	0.8934
doux	0.4698	0.9378
gras	0.4485	0.9247
floral	0.4633	0.9008
boise	0.4411	0.8058
vert	0.3602	0.9154
aldehyde	0.2851	0.9097
chimique	0.2353	0.9418
empyreumatique	0.3866	0.8176
balsamique	0.2147	0.9772
aldehyde_frais	0.2254	0.9069
fruit_exotique	0.2071	0.9343
herbe	0.2032	0.9073
legume	0.2431	0.8088
fermentaire	0.1889	0.8533
phenole	0.2593	0.8465
epice	0.1973	0.8368
fleur_d_arbuste	0.1959	0.9242
cuit	0.2459	0.8146
terreux	0.1438	0.9550
fruit_sec	0.1536	0.9306
fleur_du_jardin	0.1705	0.9261
agrume	0.1965	0.8974
oleagineux	0.1564	0.9162
lactique	0.1434	0.9369
soufre	0.4086	0.8454
plante_aromatique	0.1286	0.8842
animal	0.1371	0.6642
fruit_a_coque	0.1591	0.8453
moisi	0.1066	0.9147
fruit_a_pepins	0.1436	0.9365
torrefie	0.1917	0.8724
medicinal	0.1548	0.8884
vegetal_sec	0.0921	0.9693
rose	0.1160	0.9107
huile	0.1208	0.8514
lactone	0.0982	0.9593
menthe	0.1573	0.8389
bois	0.1493	0.8048
creme	0.0759	0.9503
boissons_alcoolisees	0.1211	0.8857
sucre_cuit	0.0895	0.8596
baie	0.0687	0.9581
poudre	0.1070	0.8841
viande_cuite	0.1677	0.8839
pomme	0.1044	0.9801
malte	0.1017	0.8874
mielle	0.1029	0.7857
solvant	0.1126	0.8797
ananas	0.0796	0.9615
fruit_rouge	0.0596	0.9302
coumarine	0.0594	0.9764
caramel	0.0948	0.8730
mineral	0.0539	0.9040
resineux	0.1195	0.8468
alliace	0.3118	0.9355
fruit_a_noyau	0.0674	0.9675
metal	0.0529	0.8770
metallique	0.0512	0.8917
peponide	0.0645	0.8559
melon	0.0640	0.8440
brule	0.1022	0.9065
feuille	0.0541	0.9340
alcool_de_fut	0.0819	0.9231
ether	0.0891	0.9020
boisson_fermentee	0.0640	0.8800
camphre	0.0979	0.8900
miel	0.0711	0.7755
citronne	0.0637	0.9583
racine	0.0342	0.9688
oignon	0.2535	0.9579
crucifere	0.0787	0.8316
lacte	0.0435	0.9677
fleur_d_arbre	0.0570	0.8191
vin	0.0646	0.9022
fromage	0.0632	0.9111
poire	0.0645	0.9438
banane	0.0613	0.9651
champignon	0.0465	0.8966
cafe	0.0921	0.9294
cacao	0.0593	0.9286
musque	0.1542	0.7500
savon	0.0492	0.8333
beurre	0.0445	0.9610
noix_de_coco	0.0407	0.9733
anise	0.0402	0.9054
pin	0.0887	0.9041
vanille	0.0731	0.9167
jasmin	0.0441	0.9722
ambre	0.0823	0.8732
ail	0.1813	0.9706
musc	0.1779	0.8529
cereale	0.0625	0.8824
peche	0.0363	0.9697
cerise	0.0443	0.9242
violette	0.0353	0.9344
rhum	0.0421	0.9000

Mean Precision: 0.1572
