Label	Precision	Recall
vegetal	0.6524	0.8919
fruite	0.6133	0.9108
frais	0.6078	0.8873
vegetal_vert	0.5652	0.8828
doux	0.4796	0.9194
gras	0.4437	0.9369
floral	0.4541	0.8992
boise	0.4202	0.9153
vert	0.3643	0.8838
aldehyde	0.2894	0.9049
chimique	0.2229	0.9451
empyreumatique	0.3774	0.8289
balsamique	0.2256	0.9240
aldehyde_frais	0.2240	0.9303
fruit_exotique	0.2142	0.9002
herbe	0.2046	0.9249
legume	0.2340	0.8392
fermentaire	0.1801	0.8678
phenole	0.2161	0.8724
epice	0.1852	0.9184
fleur_d_arbuste	0.2008	0.9190
cuit	0.2415	0.8151
terreux	0.1402	0.9551
fruit_sec	0.1829	0.7893
fleur_du_jardin	0.1634	0.9119
agrume	0.1903	0.9259
oleagineux	0.1832	0.7892
lactique	0.1570	0.8567
soufre	0.3663	0.8690
plante_aromatique	0.1345	0.8873
animal	0.1203	0.8222
fruit_a_coque	0.1616	0.8189
moisi	0.0973	0.9225
fruit_a_pepins	0.1557	0.8730
torrefie	0.1729	0.8760
medicinal	0.1308	0.9170
vegetal_sec	0.0907	0.9518
rose	0.1347	0.9062
huile	0.1222	0.7793
lactone	0.0974	0.9276
menthe	0.1453	0.8626
bois	0.1207	0.8619
creme	0.0792	0.9231
boissons_alcoolisees	0.1179	0.8820
sucre_cuit	0.1045	0.8246
baie	0.0683	0.9394
poudre	0.0912	0.9085
viande_cuite	0.1541	0.8506
pomme	0.1222	0.9007
malte	0.1012	0.9000
mielle	0.0860	0.7929
solvant	0.1027	0.8195
ananas	0.0949	0.9147
fruit_rouge	0.0630	0.9147
coumarine	0.0596	0.9370
caramel	0.1021	0.8730
mineral	0.0583	0.8880
resineux	0.1027	0.8790
alliace	0.2967	0.9355
fruit_a_noyau	0.0605	0.9431
metal	0.0587	0.8770
metallique	0.0579	0.8655
peponide	0.0737	0.8545
melon	0.0772	0.8532
brule	0.0945	0.9065
feuille	0.0491	0.9623
alcool_de_fut	0.0808	0.8558
ether	0.0901	0.8431
boisson_fermentee	0.0663	0.8800
camphre	0.0683	0.9400
miel	0.0559	0.8061
citronne	0.0560	0.9583
racine	0.0342	0.9479
oignon	0.2550	0.9368
crucifere	0.0814	0.8191
lacte	0.0482	0.8936
fleur_d_arbre	0.0654	0.8191
vin	0.0638	0.8804
fromage	0.0688	0.8556
poire	0.0849	0.8989
banane	0.0665	0.8736
champignon	0.0466	0.8488
cafe	0.0845	0.9059
cacao	0.0578	0.9286
musque	0.1061	0.8101
savon	0.0477	0.8462
beurre	0.0455	0.8961
noix_de_coco	0.0369	0.9333
anise	0.0361	0.9054
pin	0.0716	0.9589
vanille	0.0608	0.8889
jasmin	0.0421	0.9306
ambre	0.0721	0.9155
ail	0.1705	0.9706
musc	0.1070	0.8955
cereale	0.0566	0.8955
peche	0.0402	0.9701
cerise	0.0442	0.8769
violette	0.0344	0.9508
rhum	0.0422	0.8667

Mean Precision: 0.1535
