Label	Precision	Recall
vegetal	0.6735	0.8810
fruite	0.6497	0.8685
frais	0.6262	0.8905
vegetal_vert	0.5714	0.8962
doux	0.4609	0.9568
gras	0.4761	0.8238
floral	0.4409	0.9462
boise	0.3942	0.9577
vert	0.4075	0.8241
aldehyde	0.2724	0.9303
chimique	0.2579	0.9100
empyreumatique	0.4204	0.7802
balsamique	0.2135	0.9734
aldehyde_frais	0.2195	0.9390
fruit_exotique	0.2535	0.8726
herbe	0.1944	0.9398
legume	0.3326	0.6652
fermentaire	0.2140	0.7835
phenole	0.2259	0.9350
epice	0.1723	0.9625
fleur_d_arbuste	0.1947	0.9494
cuit	0.2851	0.7396
terreux	0.1670	0.8545
fruit_sec	0.2237	0.7047
fleur_du_jardin	0.1655	0.9517
agrume	0.1866	0.9164
oleagineux	0.2343	0.6896
lactique	0.1758	0.8174
soufre	0.5599	0.7897
plante_aromatique	0.1318	0.9039
animal	0.1186	0.8778
fruit_a_coque	0.1882	0.7358
moisi	0.1147	0.8132
fruit_a_pepins	0.1670	0.9167
torrefie	0.2260	0.8347
medicinal	0.1355	0.9544
vegetal_sec	0.0962	0.9211
rose	0.1251	0.9509
huile	0.1469	0.7692
lactone	0.1328	0.8136
menthe	0.1483	0.8863
bois	0.1351	0.8947
creme	0.0960	0.8462
boissons_alcoolisees	0.1468	0.8380
sucre_cuit	0.1096	0.8176
baie	0.0789	0.9760
poudre	0.0838	0.9390
viande_cuite	0.2267	0.7727
pomme	0.1345	0.9338
malte	0.1230	0.8667
mielle	0.0835	0.9429
solvant	0.1881	0.6970
ananas	0.1267	0.8915
fruit_rouge	0.0657	0.9453
coumarine	0.1130	0.7840
caramel	0.1350	0.8400
mineral	0.0644	0.8871
resineux	0.1047	0.9355
alliace	0.3614	0.9355
fruit_a_noyau	0.0754	0.9024
metal	0.0680	0.8512
metallique	0.0665	0.8571
peponide	0.0785	0.8909
melon	0.0777	0.8899
brule	0.1126	0.8879
feuille	0.0527	0.9333
alcool_de_fut	0.1024	0.8269
ether	0.1687	0.6832
boisson_fermentee	0.0857	0.8600
camphre	0.0849	0.9300
miel	0.0590	0.9072
citronne	0.0548	0.9583
racine	0.0515	0.8125
oignon	0.2935	0.9579
crucifere	0.1163	0.7128
lacte	0.0599	0.8495
fleur_d_arbre	0.0499	0.9462
vin	0.0874	0.8913
fromage	0.0810	0.8202
poire	0.0830	0.8977
banane	0.1067	0.9070
champignon	0.0571	0.7209
cafe	0.1074	0.8706
cacao	0.0679	0.9286
musque	0.0986	0.8861
savon	0.0460	0.8831
beurre	0.0651	0.8289
noix_de_coco	0.1105	0.7867
anise	0.0391	0.9315
pin	0.0813	0.9452
vanille	0.0646	0.9167
jasmin	0.0494	0.9861
ambre	0.0572	0.9859
ail	0.2178	0.9706
musc	0.1103	0.9403
cereale	0.0816	0.8358
peche	0.0477	0.9394
cerise	0.0437	0.9242
violette	0.0378	0.9833
rhum	0.0599	0.8667

Mean Precision: 0.1724
