Label	Precision	Recall
vegetal	0.6259	0.9408
fruite	0.5992	0.9560
frais	0.5851	0.9378
vegetal_vert	0.5340	0.9378
doux	0.4423	0.9848
gras	0.4346	0.9689
floral	0.4188	0.9651
boise	0.4068	0.9451
vert	0.3773	0.8759
aldehyde	0.2585	0.9651
chimique	0.2464	0.9101
empyreumatique	0.4509	0.7315
balsamique	0.2030	0.9905
aldehyde_frais	0.2018	0.9622
fruit_exotique	0.1918	0.9682
herbe	0.1828	0.9635
legume	0.3662	0.5066
fermentaire	0.1893	0.9229
phenole	0.2675	0.8329
epice	0.1865	0.8508
fleur_d_arbuste	0.1848	0.9696
cuit	0.2782	0.7526
terreux	0.1656	0.8100
fruit_sec	0.1744	0.8483
fleur_du_jardin	0.1605	0.9432
agrume	0.1836	0.9516
oleagineux	0.1852	0.8434
lactique	0.1436	0.9493
soufre	0.6100	0.7552
plante_aromatique	0.1220	0.9331
animal	0.1521	0.6815
fruit_a_coque	0.1988	0.7283
moisi	0.1108	0.8915
fruit_a_pepins	0.1349	0.9286
torrefie	0.2275	0.7851
medicinal	0.1791	0.8382
vegetal_sec	0.0862	0.9912
rose	0.1214	0.9509
huile	0.1064	0.8559
lactone	0.0900	0.9683
menthe	0.1738	0.8436
bois	0.1337	0.8952
creme	0.0743	0.9725
boissons_alcoolisees	0.1079	0.9157
sucre_cuit	0.0934	0.8889
baie	0.0606	0.9818
poudre	0.1061	0.9024
viande_cuite	0.3008	0.7013
pomme	0.1043	0.9536
malte	0.1091	0.7933
mielle	0.0715	0.8857
solvant	0.1523	0.7444
ananas	0.0776	0.9612
fruit_rouge	0.0634	0.9457
coumarine	0.0652	0.9449
caramel	0.0984	0.9048
mineral	0.0604	0.7920
resineux	0.1140	0.8790
alliace	0.4029	0.9032
fruit_a_noyau	0.0526	0.9837
metal	0.0639	0.7951
metallique	0.0591	0.7731
peponide	0.0782	0.8818
melon	0.0767	0.8807
brule	0.1342	0.7477
feuille	0.0520	0.8396
alcool_de_fut	0.0719	0.9135
ether	0.1219	0.8235
boisson_fermentee	0.0642	0.8900
camphre	0.1031	0.8300
miel	0.0421	0.9490
citronne	0.0670	0.9167
racine	0.0500	0.6875
oignon	0.3295	0.8947
crucifere	0.1354	0.6596
lacte	0.0419	0.9255
fleur_d_arbre	0.0663	0.8298
vin	0.0632	0.9130
fromage	0.0669	0.9333
poire	0.0670	0.9663
banane	0.0647	0.9540
champignon	0.0550	0.7674
cafe	0.1429	0.7765
cacao	0.0630	0.8452
musque	0.1333	0.8101
savon	0.0405	0.9615
beurre	0.0445	0.9221
noix_de_coco	0.0491	0.9333
anise	0.0350	0.9595
pin	0.0834	0.9726
vanille	0.0720	0.9167
jasmin	0.0368	0.9861
ambre	0.0700	0.9155
ail	0.2607	0.8971
musc	0.1220	0.8955
cereale	0.1000	0.8060
peche	0.0317	0.9851
cerise	0.0457	0.8923
violette	0.0320	0.9836
rhum	0.0393	0.9500

Mean Precision: 0.1648
