Label	Precision	Recall
vegetal	0.6339	0.9257
fruite	0.6798	0.7144
frais	0.6060	0.9115
vegetal_vert	0.5549	0.9054
doux	0.5055	0.8365
gras	0.4553	0.9083
floral	0.4854	0.8318
boise	0.3943	0.9596
vert	0.3887	0.8419
aldehyde	0.2788	0.9239
chimique	0.2176	0.9750
empyreumatique	0.4238	0.7652
balsamique	0.2083	0.9734
aldehyde_frais	0.2171	0.9287
fruit_exotique	0.2455	0.7182
herbe	0.1973	0.9289
legume	0.2559	0.7824
fermentaire	0.1845	0.8756
phenole	0.2029	0.9465
epice	0.1768	0.9347
fleur_d_arbuste	0.2126	0.8662
cuit	0.2762	0.7285
terreux	0.1300	0.9974
fruit_sec	0.1947	0.6778
fleur_du_jardin	0.1751	0.8835
agrume	0.1937	0.8946
oleagineux	0.1891	0.7455
lactique	0.1713	0.6156
soufre	0.4615	0.8247
plante_aromatique	0.1153	0.9544
animal	0.1038	0.8967
fruit_a_coque	0.1715	0.7585
moisi	0.0896	0.9961
fruit_a_pepins	0.2011	0.5992
torrefie	0.1968	0.7984
medicinal	0.1207	0.9752
vegetal_sec	0.0909	0.9693
rose	0.1301	0.8750
huile	0.1476	0.7432
lactone	0.1143	0.7964
menthe	0.0951	0.9668
bois	0.0981	0.9476
creme	0.0880	0.6630
boissons_alcoolisees	0.1664	0.5543
sucre_cuit	0.1254	0.6784
baie	0.0763	0.7904
poudre	0.0997	0.9146
viande_cuite	0.1985	0.8387
pomme	0.1513	0.6954
malte	0.1079	0.7351
mielle	0.1307	0.7143
solvant	0.1378	0.8120
ananas	0.1209	0.6231
fruit_rouge	0.0711	0.7054
coumarine	0.0621	0.9213
caramel	0.1075	0.7381
mineral	0.0599	0.7440
resineux	0.0676	0.9758
alliace	0.3024	0.9194
fruit_a_noyau	0.0713	0.5041
metal	0.0609	0.7787
metallique	0.0566	0.7833
peponide	0.0816	0.6577
melon	0.0815	0.6606
brule	0.1014	0.8879
feuille	0.0589	0.8302
alcool_de_fut	0.1132	0.6250
ether	0.1207	0.7843
boisson_fermentee	0.0750	0.4400
camphre	0.0509	0.9900
miel	0.0903	0.6939
citronne	0.0567	0.9583
racine	0.0333	0.9792
oignon	0.2418	0.9368
crucifere	0.0924	0.7789
lacte	0.0478	0.6452
fleur_d_arbre	0.0608	0.8085
vin	0.0765	0.4348
fromage	0.0848	0.7556
poire	0.0944	0.7191
banane	0.0884	0.7442
champignon	0.0595	0.8046
cafe	0.0846	0.9176
cacao	0.0550	0.7262
musque	0.0656	0.9000
savon	0.0614	0.7692
beurre	0.0557	0.5065
noix_de_coco	0.0545	0.9067
anise	0.0410	0.9189
pin	0.0415	1.0000
vanille	0.0841	0.7361
jasmin	0.0597	0.8056
ambre	0.0535	0.9718
ail	0.1818	0.9706
musc	0.0808	0.9265
cereale	0.0641	0.8676
peche	0.0495	0.6515
cerise	0.0534	0.7576
violette	0.0403	0.9344
rhum	0.0711	0.7667

Mean Precision: 0.1616
