Label	Precision	Recall
vegetal	0.6682	0.8850
fruite	0.6330	0.8914
frais	0.6376	0.8625
vegetal_vert	0.5775	0.8814
doux	0.4594	0.9632
gras	0.4767	0.8385
floral	0.4474	0.9311
boise	0.4156	0.9336
vert	0.3877	0.8742
aldehyde	0.2917	0.8986
chimique	0.2440	0.9367
empyreumatique	0.3750	0.8305
balsamique	0.2217	0.9734
aldehyde_frais	0.2327	0.9154
fruit_exotique	0.2343	0.9193
herbe	0.2059	0.9161
legume	0.3004	0.7379
fermentaire	0.1929	0.9062
phenole	0.2354	0.9234
epice	0.1757	0.9391
fleur_d_arbuste	0.1909	0.9646
cuit	0.2413	0.7943
terreux	0.1726	0.8122
fruit_sec	0.1833	0.8245
fleur_du_jardin	0.1629	0.9517
agrume	0.1934	0.8934
oleagineux	0.2078	0.7940
lactique	0.1730	0.8683
soufre	0.4414	0.8310
plante_aromatique	0.1469	0.8399
animal	0.1413	0.7852
fruit_a_coque	0.1707	0.8038
moisi	0.1115	0.8833
fruit_a_pepins	0.1495	0.9444
torrefie	0.1880	0.8967
medicinal	0.1460	0.9461
vegetal_sec	0.1022	0.9211
rose	0.1199	0.9643
huile	0.1406	0.7783
lactone	0.1179	0.8727
menthe	0.1811	0.8436
bois	0.1764	0.8278
creme	0.0990	0.8407
boissons_alcoolisees	0.1197	0.8939
sucre_cuit	0.0992	0.9059
baie	0.0710	0.9701
poudre	0.0880	0.9207
viande_cuite	0.1994	0.8377
pomme	0.1170	0.9735
malte	0.1010	0.9400
mielle	0.0760	0.9357
solvant	0.1705	0.7879
ananas	0.0972	0.9380
fruit_rouge	0.0555	0.9766
coumarine	0.1054	0.8160
caramel	0.1072	0.8880
mineral	0.0627	0.8710
resineux	0.1246	0.8871
alliace	0.3189	0.9516
fruit_a_noyau	0.0660	0.9431
metal	0.0643	0.9008
metallique	0.0631	0.8992
peponide	0.0698	0.9000
melon	0.0719	0.9083
brule	0.0980	0.9346
feuille	0.0499	0.9524
alcool_de_fut	0.0918	0.8750
ether	0.1490	0.8218
boisson_fermentee	0.0664	0.9300
camphre	0.1055	0.9000
miel	0.0518	0.9485
citronne	0.0585	0.9583
racine	0.0483	0.8438
oignon	0.2528	0.9579
crucifere	0.0894	0.7979
lacte	0.0499	0.8925
fleur_d_arbre	0.0493	0.9032
vin	0.0669	0.9457
fromage	0.0864	0.8876
poire	0.0762	0.9545
banane	0.0783	0.9651
champignon	0.0567	0.8372
cafe	0.0937	0.9059
cacao	0.0539	0.9524
musque	0.1921	0.7975
savon	0.0500	0.8831
beurre	0.0545	0.9342
noix_de_coco	0.1152	0.8400
anise	0.0381	0.9452
pin	0.1021	0.9452
vanille	0.0601	0.9861
jasmin	0.0431	0.9861
ambre	0.0624	0.9718
ail	0.1887	0.9853
musc	0.2056	0.8806
cereale	0.0674	0.8806
peche	0.0419	0.9545
cerise	0.0348	0.9848
violette	0.0421	0.9500
rhum	0.0545	0.8833

Mean Precision: 0.1664
