Label	Precision	Recall
vegetal	0.6757	0.8644
fruite	0.6313	0.9040
frais	0.6380	0.8842
vegetal_vert	0.5794	0.8829
doux	0.4769	0.9314
gras	0.4572	0.9230
floral	0.4443	0.9386
boise	0.4484	0.8404
vert	0.3653	0.9120
aldehyde	0.2972	0.8827
chimique	0.2518	0.8968
empyreumatique	0.3803	0.8480
balsamique	0.2251	0.9658
aldehyde_frais	0.2414	0.8792
fruit_exotique	0.2408	0.8877
herbe	0.2166	0.8836
legume	0.2582	0.8110
fermentaire	0.1787	0.9489
phenole	0.2522	0.8674
epice	0.1926	0.8648
fleur_d_arbuste	0.1841	0.9672
cuit	0.2655	0.8172
terreux	0.1471	0.9339
fruit_sec	0.1543	0.9194
fleur_du_jardin	0.1650	0.9659
agrume	0.2258	0.8575
oleagineux	0.1537	0.9251
lactique	0.1582	0.9069
soufre	0.4796	0.8076
plante_aromatique	0.1359	0.8667
animal	0.1331	0.8081
fruit_a_coque	0.1425	0.8642
moisi	0.1002	0.9457
fruit_a_pepins	0.1628	0.9008
torrefie	0.1777	0.9177
medicinal	0.1662	0.8967
vegetal_sec	0.0924	0.9605
rose	0.1139	0.9688
huile	0.1201	0.8468
lactone	0.1023	0.9502
menthe	0.2254	0.7725
bois	0.1923	0.7857
creme	0.0896	0.9282
boissons_alcoolisees	0.1454	0.8914
sucre_cuit	0.1063	0.8889
baie	0.0866	0.8743
poudre	0.0993	0.9024
viande_cuite	0.1843	0.8645
pomme	0.1471	0.8940
malte	0.1044	0.9404
mielle	0.0774	0.9143
solvant	0.1826	0.8195
ananas	0.0944	0.9692
fruit_rouge	0.0693	0.9457
coumarine	0.0647	0.9685
caramel	0.1005	0.9048
mineral	0.0562	0.8640
resineux	0.1661	0.7984
alliace	0.3631	0.9194
fruit_a_noyau	0.0801	0.9350
metal	0.0569	0.8689
metallique	0.0552	0.8833
peponide	0.0639	0.8288
melon	0.0649	0.8349
brule	0.1143	0.9346
feuille	0.0531	0.9340
alcool_de_fut	0.1054	0.8750
ether	0.1336	0.8725
boisson_fermentee	0.0756	0.9100
camphre	0.1450	0.8700
miel	0.0534	0.9388
citronne	0.0878	0.8333
racine	0.0411	0.9479
oignon	0.2890	0.9368
crucifere	0.1061	0.8105
lacte	0.0474	0.9570
fleur_d_arbre	0.0508	0.9362
vin	0.0806	0.9457
fromage	0.0725	0.9000
poire	0.0858	0.9101
banane	0.0826	0.8953
champignon	0.0459	0.9080
cafe	0.0950	0.9529
cacao	0.0577	0.9405
musque	0.1837	0.7625
savon	0.0494	0.9359
beurre	0.0540	0.9221
noix_de_coco	0.0694	0.9600
anise	0.0406	0.9324
pin	0.1252	0.8767
vanille	0.0624	0.9167
jasmin	0.0485	0.9722
ambre	0.0821	0.9014
ail	0.2177	0.9412
musc	0.2171	0.8235
cereale	0.0705	0.8824
peche	0.0461	0.9394
cerise	0.0454	0.9545
violette	0.0492	0.9016
rhum	0.0631	0.8667

Mean Precision: 0.1696
