Label	Precision	Recall
vegetal	0.6722	0.8774
fruite	0.6687	0.8092
frais	0.6450	0.8791
vegetal_vert	0.5819	0.8850
doux	0.4855	0.9203
gras	0.5073	0.7674
floral	0.4674	0.9225
boise	0.4182	0.9288
vert	0.4067	0.8519
aldehyde	0.2894	0.9017
chimique	0.2454	0.9401
empyreumatique	0.4190	0.8125
balsamique	0.2284	0.9564
aldehyde_frais	0.2254	0.9149
fruit_exotique	0.2611	0.8623
herbe	0.2027	0.9246
legume	0.3004	0.7429
fermentaire	0.2099	0.8356
phenole	0.2282	0.9395
epice	0.1888	0.9231
fleur_d_arbuste	0.2038	0.9268
cuit	0.2746	0.7937
terreux	0.1560	0.9048
fruit_sec	0.2027	0.7944
fleur_du_jardin	0.1743	0.9489
agrume	0.1984	0.9145
oleagineux	0.2210	0.7934
lactique	0.1779	0.8018
soufre	0.4420	0.8385
plante_aromatique	0.1354	0.8667
animal	0.1309	0.8708
fruit_a_coque	0.1813	0.7811
moisi	0.1177	0.8333
fruit_a_pepins	0.1638	0.9008
torrefie	0.1971	0.8807
medicinal	0.1423	0.9711
vegetal_sec	0.1051	0.8904
rose	0.1266	0.9554
huile	0.1498	0.7523
lactone	0.1421	0.8281
menthe	0.1607	0.8957
bois	0.1191	0.9143
creme	0.1047	0.8453
boissons_alcoolisees	0.1549	0.8800
sucre_cuit	0.1046	0.8830
baie	0.0785	0.9162
poudre	0.0985	0.9268
viande_cuite	0.2100	0.8645
pomme	0.1280	0.9603
malte	0.1055	0.8940
mielle	0.0841	0.8857
solvant	0.1436	0.8872
ananas	0.1120	0.9077
fruit_rouge	0.0694	0.9612
coumarine	0.1087	0.8189
caramel	0.1133	0.8730
mineral	0.0614	0.8160
resineux	0.0907	0.9435
alliace	0.3214	0.9435
fruit_a_noyau	0.0845	0.9431
metal	0.0623	0.8115
metallique	0.0594	0.8083
peponide	0.0740	0.8468
melon	0.0731	0.8532
brule	0.1140	0.8972
feuille	0.0549	0.9434
alcool_de_fut	0.1110	0.9038
ether	0.1331	0.8824
boisson_fermentee	0.0778	0.8800
camphre	0.0841	0.9700
miel	0.0581	0.8980
citronne	0.0599	0.9688
racine	0.0371	0.9479
oignon	0.2687	0.9474
crucifere	0.0972	0.8105
lacte	0.0603	0.8817
fleur_d_arbre	0.0551	0.8830
vin	0.0805	0.9130
fromage	0.0830	0.8556
poire	0.0823	0.9326
banane	0.0855	0.9186
champignon	0.0657	0.8506
cafe	0.0981	0.9176
cacao	0.0614	0.9167
musque	0.0875	0.9000
savon	0.0508	0.8718
beurre	0.0685	0.8571
noix_de_coco	0.1248	0.8533
anise	0.0408	0.9459
pin	0.0687	0.9726
vanille	0.0796	0.9028
jasmin	0.0645	0.9028
ambre	0.0582	0.9718
ail	0.1959	0.9853
musc	0.0964	0.9412
cereale	0.0732	0.8971
peche	0.0504	0.9394
cerise	0.0482	0.9394
violette	0.0429	0.9508
rhum	0.0634	0.9167

Mean Precision: 0.1700
