Label	Precision	Recall
vegetal	0.6343	0.9410
fruite	0.6231	0.9207
frais	0.6098	0.9223
vegetal_vert	0.5567	0.9146
doux	0.4974	0.9059
gras	0.4548	0.9115
floral	0.4378	0.9319
boise	0.4430	0.8404
vert	0.3531	0.9354
aldehyde	0.2727	0.9287
chimique	0.2372	0.9384
empyreumatique	0.4100	0.8041
balsamique	0.2307	0.9089
aldehyde_frais	0.2157	0.9406
fruit_exotique	0.2039	0.9492
herbe	0.1941	0.9332
legume	0.2369	0.8615
fermentaire	0.1825	0.9267
phenole	0.2534	0.8767
epice	0.1845	0.9044
fleur_d_arbuste	0.1852	0.9571
cuit	0.2547	0.8068
terreux	0.1473	0.9312
fruit_sec	0.1731	0.8861
fleur_du_jardin	0.1610	0.9574
agrume	0.1831	0.9259
oleagineux	0.1800	0.8802
lactique	0.1624	0.8949
soufre	0.3436	0.8832
plante_aromatique	0.1250	0.9018
animal	0.1361	0.7491
fruit_a_coque	0.1645	0.8566
moisi	0.1028	0.9380
fruit_a_pepins	0.1444	0.9563
torrefie	0.1904	0.8971
medicinal	0.1560	0.9174
vegetal_sec	0.1009	0.8947
rose	0.1115	0.9688
huile	0.1313	0.8153
lactone	0.1099	0.9276
menthe	0.1790	0.8483
bois	0.1454	0.8619
creme	0.0914	0.9061
boissons_alcoolisees	0.1266	0.9029
sucre_cuit	0.1046	0.8947
baie	0.0687	0.9521
poudre	0.1111	0.9024
viande_cuite	0.1953	0.8516
pomme	0.1089	0.9801
malte	0.0997	0.9205
mielle	0.0836	0.8571
solvant	0.1449	0.8571
ananas	0.0780	0.9692
fruit_rouge	0.0624	0.9457
coumarine	0.0782	0.8819
caramel	0.1046	0.8413
mineral	0.0565	0.8640
resineux	0.1126	0.8871
alliace	0.2586	0.9677
fruit_a_noyau	0.0669	0.9593
metal	0.0568	0.8770
metallique	0.0549	0.8917
peponide	0.0596	0.9099
melon	0.0581	0.8991
brule	0.1218	0.8879
feuille	0.0493	0.9811
alcool_de_fut	0.0878	0.9231
ether	0.1160	0.8529
boisson_fermentee	0.0710	0.9300
camphre	0.1115	0.8900
miel	0.0607	0.8776
citronne	0.0600	0.9688
racine	0.0353	0.9896
oignon	0.2110	0.9684
crucifere	0.0741	0.8842
lacte	0.0532	0.8925
fleur_d_arbre	0.0532	0.8723
vin	0.0738	0.9239
fromage	0.0699	0.9000
poire	0.0634	0.9551
banane	0.0682	0.9767
champignon	0.0451	0.9310
cafe	0.1016	0.8824
cacao	0.0580	0.9405
musque	0.1768	0.8000
savon	0.0489	0.8974
beurre	0.0568	0.9351
noix_de_coco	0.0895	0.8933
anise	0.0391	0.9054
pin	0.0819	0.9178
vanille	0.0910	0.8889
jasmin	0.0460	0.9583
ambre	0.0741	0.9155
ail	0.1578	1.0000
musc	0.1873	0.8676
cereale	0.0708	0.8824
peche	0.0386	0.9394
cerise	0.0446	0.9545
violette	0.0345	0.9672
rhum	0.0478	0.9167

Mean Precision: 0.1587
