Label	Precision	Recall
vegetal	0.6739	0.8689
fruite	0.6614	0.8532
frais	0.6498	0.8657
vegetal_vert	0.5877	0.8631
doux	0.4641	0.9474
gras	0.4523	0.9361
floral	0.4947	0.8837
boise	0.4064	0.9481
vert	0.4052	0.8229
aldehyde	0.2961	0.8859
chimique	0.2757	0.8220
empyreumatique	0.3860	0.8294
balsamique	0.2063	0.9886
aldehyde_frais	0.2411	0.8851
fruit_exotique	0.2350	0.8983
herbe	0.2147	0.8901
legume	0.3068	0.7033
fermentaire	0.1967	0.8933
phenole	0.2674	0.8581
epice	0.1996	0.8555
fleur_d_arbuste	0.2134	0.9268
cuit	0.2496	0.8225
terreux	0.1597	0.8413
fruit_sec	0.1536	0.9222
fleur_du_jardin	0.1922	0.9006
agrume	0.2448	0.8120
oleagineux	0.1512	0.9341
lactique	0.1485	0.9339
soufre	0.4839	0.8247
plante_aromatique	0.1283	0.9018
animal	0.1344	0.7970
fruit_a_coque	0.1515	0.8642
moisi	0.1047	0.9225
fruit_a_pepins	0.1774	0.8611
torrefie	0.1808	0.8848
medicinal	0.1832	0.9091
vegetal_sec	0.0916	0.9781
rose	0.1438	0.8839
huile	0.1150	0.8559
lactone	0.0986	0.9638
menthe	0.1825	0.8673
bois	0.1515	0.8619
creme	0.0804	0.9558
boissons_alcoolisees	0.1539	0.8857
sucre_cuit	0.0955	0.9240
baie	0.0913	0.8623
poudre	0.1120	0.8963
viande_cuite	0.1887	0.8839
pomme	0.1420	0.9007
malte	0.1018	0.9404
mielle	0.1051	0.8071
solvant	0.1553	0.8421
ananas	0.0969	0.9308
fruit_rouge	0.0733	0.8062
coumarine	0.0602	0.9764
caramel	0.0890	0.9127
mineral	0.0682	0.7600
resineux	0.1213	0.8871
alliace	0.3343	0.9355
fruit_a_noyau	0.0727	0.9756
metal	0.0688	0.7787
metallique	0.0655	0.7750
peponide	0.0762	0.7838
melon	0.0760	0.7798
brule	0.1059	0.9439
feuille	0.0635	0.8019
alcool_de_fut	0.1046	0.9135
ether	0.1290	0.9020
boisson_fermentee	0.0835	0.8700
camphre	0.1323	0.9500
miel	0.0770	0.8469
citronne	0.0965	0.8125
racine	0.0426	0.8438
oignon	0.2676	0.9579
crucifere	0.1029	0.8105
lacte	0.0420	0.9785
fleur_d_arbre	0.0552	0.8936
vin	0.0876	0.9022
fromage	0.0702	0.9222
poire	0.0944	0.8652
banane	0.0859	0.9419
champignon	0.0518	0.8851
cafe	0.0904	0.9412
cacao	0.0593	0.9286
musque	0.1393	0.8375
savon	0.0494	0.8718
beurre	0.0471	0.9481
noix_de_coco	0.0484	1.0000
anise	0.0408	0.8919
pin	0.0913	0.9589
vanille	0.0657	0.9444
jasmin	0.0440	0.9861
ambre	0.0777	0.9014
ail	0.1971	0.9853
musc	0.1658	0.9118
cereale	0.0605	0.9118
peche	0.0396	0.9545
cerise	0.0540	0.8636
violette	0.0549	0.8852
rhum	0.0666	0.8500

Mean Precision: 0.1697
