Label	Precision	Recall
vegetal	0.6757	0.8513
fruite	0.6851	0.7912
frais	0.6482	0.8574
vegetal_vert	0.5913	0.8596
doux	0.5027	0.8907
gras	0.4840	0.8288
floral	0.4981	0.8752
boise	0.4459	0.8519
vert	0.4128	0.8218
aldehyde	0.2988	0.9002
chimique	0.2641	0.8985
empyreumatique	0.3992	0.8226
balsamique	0.2362	0.9241
aldehyde_frais	0.2341	0.9109
fruit_exotique	0.2692	0.8475
herbe	0.2093	0.9073
legume	0.2625	0.8066
fermentaire	0.2097	0.8089
phenole	0.2423	0.9093
epice	0.2009	0.8811
fleur_d_arbuste	0.2178	0.9040
cuit	0.2654	0.7963
terreux	0.1571	0.8995
fruit_sec	0.1909	0.8472
fleur_du_jardin	0.1776	0.9205
agrume	0.2100	0.8946
oleagineux	0.1978	0.8653
lactique	0.1718	0.8529
soufre	0.4453	0.8247
plante_aromatique	0.1364	0.8632
animal	0.1360	0.8524
fruit_a_coque	0.1691	0.8377
moisi	0.1138	0.8953
fruit_a_pepins	0.1752	0.8849
torrefie	0.1944	0.8807
medicinal	0.1528	0.9628
vegetal_sec	0.1006	0.9211
rose	0.1355	0.9018
huile	0.1356	0.7793
lactone	0.1331	0.8824
menthe	0.1726	0.8910
bois	0.1533	0.8619
creme	0.0977	0.8729
boissons_alcoolisees	0.1597	0.8743
sucre_cuit	0.1078	0.8889
baie	0.0924	0.8503
poudre	0.1035	0.8963
viande_cuite	0.1874	0.8645
pomme	0.1382	0.9272
malte	0.1072	0.9139
mielle	0.0963	0.8214
solvant	0.1709	0.8571
ananas	0.1176	0.8923
fruit_rouge	0.0771	0.9380
coumarine	0.0849	0.9134
caramel	0.1087	0.8810
mineral	0.0592	0.8560
resineux	0.1150	0.8790
alliace	0.3372	0.9274
fruit_a_noyau	0.1011	0.9024
metal	0.0598	0.8689
metallique	0.0566	0.8667
peponide	0.0729	0.8739
melon	0.0725	0.8807
brule	0.1131	0.9252
feuille	0.0591	0.9151
alcool_de_fut	0.1097	0.8846
ether	0.1335	0.8627
boisson_fermentee	0.0846	0.8800
camphre	0.0943	0.9700
miel	0.0706	0.8878
citronne	0.0676	0.9583
racine	0.0411	0.9688
oignon	0.2719	0.9474
crucifere	0.0994	0.8211
lacte	0.0620	0.8925
fleur_d_arbre	0.0604	0.8404
vin	0.0870	0.9130
fromage	0.0791	0.8889
poire	0.0846	0.9101
banane	0.0883	0.9186
champignon	0.0601	0.8506
cafe	0.0956	0.9529
cacao	0.0645	0.9167
musque	0.1283	0.9000
savon	0.0539	0.8333
beurre	0.0597	0.9221
noix_de_coco	0.0901	0.9067
anise	0.0428	0.9189
pin	0.0996	0.9178
vanille	0.0775	0.9444
jasmin	0.0823	0.9028
ambre	0.0783	0.9155
ail	0.2031	0.9706
musc	0.1419	0.9265
cereale	0.0620	0.8824
peche	0.0562	0.8939
cerise	0.0511	0.9394
violette	0.0462	0.9016
rhum	0.0681	0.8667

Mean Precision: 0.1740
