Label	AUC-ROC
vegetal	0.6547
fruite	0.7586
frais	0.7107
vegetal_vert	0.6933
doux	0.7255
gras	0.6937
floral	0.7575
boise	0.7297
vert	0.6915
aldehyde	0.7030
chimique	0.7411
empyreumatique	0.8680
balsamique	0.7499
aldehyde_frais	0.6743
fruit_exotique	0.7644
herbe	0.6681
legume	0.7337
fermentaire	0.6755
phenole	0.8237
epice	0.7438
fleur_d_arbuste	0.7687
cuit	0.8698
terreux	0.6536
fruit_sec	0.7779
fleur_du_jardin	0.7132
agrume	0.7857
oleagineux	0.8022
lactique	0.7169
soufre	0.9480
plante_aromatique	0.7099
animal	0.7290
fruit_a_coque	0.7679
moisi	0.6649
fruit_a_pepins	0.8642
torrefie	0.8523
medicinal	0.8427
vegetal_sec	0.7047
rose	0.7559
huile	0.6809
lactone	0.7320
menthe	0.8467
bois	0.8009
creme	0.7531
boissons_alcoolisees	0.8383
sucre_cuit	0.8134
baie	0.6634
poudre	0.7948
viande_cuite	0.9431
pomme	0.9037
malte	0.7970
mielle	0.7567
solvant	0.8801
ananas	0.8388
fruit_rouge	0.8143
coumarine	0.7928
caramel	0.8419
mineral	0.6566
resineux	0.8609
alliace	0.9705
fruit_a_noyau	0.8048
metal	0.6796
metallique	0.6671
peponide	0.7475
melon	0.7416
brule	0.8632
feuille	0.6871
alcool_de_fut	0.8948
ether	0.8957
boisson_fermentee	0.8044
camphre	0.9032
miel	0.8026
citronne	0.8549
racine	0.5700
oignon	0.9686
crucifere	0.8823
lacte	0.7137
fleur_d_arbre	0.7731
vin	0.8183
fromage	0.8248
poire	0.9274
banane	0.9019
champignon	0.7107
cafe	0.9122
cacao	0.8152
musque	0.8947
savon	0.8513
beurre	0.7980
noix_de_coco	0.9340
anise	0.7759
pin	0.8734
vanille	0.9535
jasmin	0.8131
ambre	0.9053
ail	0.9768
musc	0.9107
cereale	0.8655
peche	0.8194
cerise	0.8655
violette	0.7631
rhum	0.8908
