Label	AUC-ROC
vegetal	0.6975
fruite	0.7478
frais	0.7230
vegetal_vert	0.7011
doux	0.6737
gras	0.6943
floral	0.7406
boise	0.7314
vert	0.6891
aldehyde	0.7280
chimique	0.6933
empyreumatique	0.8127
balsamique	0.6829
aldehyde_frais	0.7224
fruit_exotique	0.7761
herbe	0.7002
legume	0.7777
fermentaire	0.6982
phenole	0.8067
epice	0.7121
fleur_d_arbuste	0.7388
cuit	0.7760
terreux	0.6180
fruit_sec	0.7440
fleur_du_jardin	0.7267
agrume	0.7861
oleagineux	0.7535
lactique	0.7385
soufre	0.9349
plante_aromatique	0.7227
animal	0.6555
fruit_a_coque	0.7680
moisi	0.6252
fruit_a_pepins	0.7965
torrefie	0.8408
medicinal	0.8065
vegetal_sec	0.7132
rose	0.7678
huile	0.7825
lactone	0.7844
menthe	0.8464
bois	0.8571
creme	0.7578
boissons_alcoolisees	0.8073
sucre_cuit	0.7166
baie	0.7005
poudre	0.7956
viande_cuite	0.8860
pomme	0.8263
malte	0.8298
mielle	0.8940
solvant	0.8938
ananas	0.8474
fruit_rouge	0.7560
coumarine	0.8121
caramel	0.7905
mineral	0.5794
resineux	0.8919
alliace	0.9558
fruit_a_noyau	0.8543
metal	0.5920
metallique	0.5929
peponide	0.7537
melon	0.7658
brule	0.8579
feuille	0.6896
alcool_de_fut	0.8634
ether	0.8992
boisson_fermentee	0.7584
camphre	0.9261
miel	0.9109
citronne	0.8656
racine	0.6917
oignon	0.9572
crucifere	0.8206
lacte	0.7443
fleur_d_arbre	0.7900
vin	0.7745
fromage	0.8390
poire	0.8601
banane	0.9141
champignon	0.7268
cafe	0.8863
cacao	0.7987
musque	0.8482
savon	0.7647
beurre	0.8268
noix_de_coco	0.9034
anise	0.7149
pin	0.8913
vanille	0.8621
jasmin	0.8862
ambre	0.8661
ail	0.9495
musc	0.8936
cereale	0.8602
peche	0.7957
cerise	0.7882
violette	0.7924
rhum	0.8575
