Label	AUC-ROC
vegetal	0.7069
fruite	0.7255
frais	0.7463
vegetal_vert	0.7493
doux	0.7100
gras	0.6653
floral	0.7692
boise	0.7118
vert	0.7284
aldehyde	0.7620
chimique	0.7284
empyreumatique	0.7926
balsamique	0.7003
aldehyde_frais	0.7512
fruit_exotique	0.7430
herbe	0.7278
legume	0.7680
fermentaire	0.6646
phenole	0.8312
epice	0.7273
fleur_d_arbuste	0.7309
cuit	0.7673
terreux	0.7107
fruit_sec	0.7426
fleur_du_jardin	0.7583
agrume	0.8166
oleagineux	0.7761
lactique	0.7041
soufre	0.8808
plante_aromatique	0.7521
animal	0.6923
fruit_a_coque	0.8050
moisi	0.6868
fruit_a_pepins	0.7637
torrefie	0.7712
medicinal	0.8701
vegetal_sec	0.6793
rose	0.7504
huile	0.7370
lactone	0.7860
menthe	0.8777
bois	0.8107
creme	0.6713
boissons_alcoolisees	0.8039
sucre_cuit	0.7683
baie	0.7389
poudre	0.8284
viande_cuite	0.8278
pomme	0.8437
malte	0.7544
mielle	0.7816
solvant	0.7919
ananas	0.8458
fruit_rouge	0.7237
coumarine	0.7821
caramel	0.8131
mineral	0.6675
resineux	0.8638
alliace	0.9651
fruit_a_noyau	0.7643
metal	0.6899
metallique	0.6906
peponide	0.7935
melon	0.7932
brule	0.8447
feuille	0.6781
alcool_de_fut	0.8422
ether	0.8572
boisson_fermentee	0.7613
camphre	0.9305
miel	0.7512
citronne	0.8358
racine	0.5350
oignon	0.9779
crucifere	0.7645
lacte	0.7514
fleur_d_arbre	0.7436
vin	0.7782
fromage	0.7804
poire	0.8161
banane	0.8439
champignon	0.7045
cafe	0.8277
cacao	0.7171
musque	0.9562
savon	0.7779
beurre	0.8315
noix_de_coco	0.8173
anise	0.6283
pin	0.9375
vanille	0.8724
jasmin	0.8551
ambre	0.9002
ail	0.9737
musc	0.9814
cereale	0.8539
peche	0.8237
cerise	0.8060
violette	0.8258
rhum	0.8436
