Label	AUC-ROC
vegetal	0.7076
fruite	0.7349
frais	0.7457
vegetal_vert	0.7488
doux	0.7171
gras	0.6623
floral	0.7750
boise	0.7163
vert	0.7187
aldehyde	0.7617
chimique	0.6964
empyreumatique	0.7905
balsamique	0.6999
aldehyde_frais	0.7488
fruit_exotique	0.7335
herbe	0.7162
legume	0.7718
fermentaire	0.6591
phenole	0.8168
epice	0.7265
fleur_d_arbuste	0.7264
cuit	0.7654
terreux	0.6948
fruit_sec	0.7495
fleur_du_jardin	0.7501
agrume	0.8126
oleagineux	0.7801
lactique	0.6947
soufre	0.8769
plante_aromatique	0.7472
animal	0.7016
fruit_a_coque	0.8113
moisi	0.6813
fruit_a_pepins	0.7723
torrefie	0.7826
medicinal	0.8474
vegetal_sec	0.6777
rose	0.7401
huile	0.7343
lactone	0.7720
menthe	0.8669
bois	0.8140
creme	0.6706
boissons_alcoolisees	0.7999
sucre_cuit	0.7871
baie	0.7680
poudre	0.8243
viande_cuite	0.8351
pomme	0.8372
malte	0.7682
mielle	0.7860
solvant	0.7861
ananas	0.8390
fruit_rouge	0.7486
coumarine	0.7533
caramel	0.8323
mineral	0.6677
resineux	0.8725
alliace	0.9571
fruit_a_noyau	0.7679
metal	0.6870
metallique	0.6905
peponide	0.7899
melon	0.7886
brule	0.8436
feuille	0.6235
alcool_de_fut	0.8306
ether	0.8539
boisson_fermentee	0.7675
camphre	0.9320
miel	0.7642
citronne	0.8197
racine	0.5709
oignon	0.9777
crucifere	0.7610
lacte	0.7302
fleur_d_arbre	0.7612
vin	0.7817
fromage	0.7848
poire	0.8259
banane	0.8459
champignon	0.7000
cafe	0.8245
cacao	0.7238
musque	0.9474
savon	0.7791
beurre	0.8014
noix_de_coco	0.8005
anise	0.5910
pin	0.9376
vanille	0.8781
jasmin	0.9039
ambre	0.9012
ail	0.9739
musc	0.9757
cereale	0.8589
peche	0.8030
cerise	0.8278
violette	0.8525
rhum	0.8337
