Label	AUC-ROC
vegetal	0.6328
fruite	0.7529
frais	0.6994
vegetal_vert	0.6842
doux	0.7163
gras	0.6817
floral	0.7407
boise	0.7064
vert	0.6718
aldehyde	0.7003
chimique	0.6918
empyreumatique	0.8619
balsamique	0.7254
aldehyde_frais	0.6792
fruit_exotique	0.7582
herbe	0.6717
legume	0.7326
fermentaire	0.6620
phenole	0.7826
epice	0.7205
fleur_d_arbuste	0.7426
cuit	0.8555
terreux	0.6299
fruit_sec	0.7694
fleur_du_jardin	0.6756
agrume	0.7835
oleagineux	0.7845
lactique	0.6969
soufre	0.9446
plante_aromatique	0.7041
animal	0.7343
fruit_a_coque	0.7734
moisi	0.6461
fruit_a_pepins	0.8377
torrefie	0.8519
medicinal	0.7897
vegetal_sec	0.7087
rose	0.7250
huile	0.6905
lactone	0.7455
menthe	0.8326
bois	0.7711
creme	0.7179
boissons_alcoolisees	0.8183
sucre_cuit	0.7973
baie	0.6478
poudre	0.7859
viande_cuite	0.9345
pomme	0.8837
malte	0.7999
mielle	0.7376
solvant	0.8621
ananas	0.8286
fruit_rouge	0.8038
coumarine	0.7895
caramel	0.8308
mineral	0.6854
resineux	0.8379
alliace	0.9739
fruit_a_noyau	0.7788
metal	0.7007
metallique	0.6878
peponide	0.7553
melon	0.7533
brule	0.8532
feuille	0.6380
alcool_de_fut	0.8761
ether	0.8730
boisson_fermentee	0.7849
camphre	0.8712
miel	0.7735
citronne	0.8369
racine	0.5828
oignon	0.9738
crucifere	0.8620
lacte	0.6257
fleur_d_arbre	0.7640
vin	0.8135
fromage	0.7871
poire	0.9081
banane	0.8715
champignon	0.7181
cafe	0.9033
cacao	0.7947
musque	0.9141
savon	0.8499
beurre	0.7894
noix_de_coco	0.9062
anise	0.8199
pin	0.8656
vanille	0.9166
jasmin	0.8066
ambre	0.8679
ail	0.9774
musc	0.9305
cereale	0.8786
peche	0.7955
cerise	0.8759
violette	0.7408
rhum	0.8509
