Label	AUC-ROC
vegetal	0.6376
fruite	0.7249
frais	0.7009
vegetal_vert	0.6828
doux	0.6852
gras	0.6509
floral	0.7263
boise	0.7080
vert	0.6723
aldehyde	0.6916
chimique	0.6788
empyreumatique	0.8589
balsamique	0.6706
aldehyde_frais	0.6652
fruit_exotique	0.7271
herbe	0.6628
legume	0.7214
fermentaire	0.6497
phenole	0.7723
epice	0.7189
fleur_d_arbuste	0.7216
cuit	0.8583
terreux	0.6547
fruit_sec	0.7328
fleur_du_jardin	0.6703
agrume	0.7784
oleagineux	0.7486
lactique	0.6606
soufre	0.9412
plante_aromatique	0.6938
animal	0.6705
fruit_a_coque	0.7484
moisi	0.6459
fruit_a_pepins	0.8138
torrefie	0.8373
medicinal	0.7881
vegetal_sec	0.6855
rose	0.7008
huile	0.6533
lactone	0.6941
menthe	0.8304
bois	0.7705
creme	0.6663
boissons_alcoolisees	0.7974
sucre_cuit	0.7877
baie	0.5894
poudre	0.7646
viande_cuite	0.9435
pomme	0.8626
malte	0.7760
mielle	0.7335
solvant	0.8815
ananas	0.8047
fruit_rouge	0.7476
coumarine	0.7483
caramel	0.8253
mineral	0.6740
resineux	0.8498
alliace	0.9710
fruit_a_noyau	0.7714
metal	0.6808
metallique	0.6691
peponide	0.7486
melon	0.7450
brule	0.8567
feuille	0.6654
alcool_de_fut	0.8659
ether	0.8760
boisson_fermentee	0.7748
camphre	0.8567
miel	0.7639
citronne	0.8351
racine	0.6611
oignon	0.9695
crucifere	0.8407
lacte	0.5669
fleur_d_arbre	0.7315
vin	0.8024
fromage	0.8029
poire	0.8983
banane	0.8664
champignon	0.6976
cafe	0.8965
cacao	0.7814
musque	0.8694
savon	0.8438
beurre	0.7752
noix_de_coco	0.8684
anise	0.7993
pin	0.8590
vanille	0.9143
jasmin	0.7272
ambre	0.8912
ail	0.9748
musc	0.9079
cereale	0.8583
peche	0.7865
cerise	0.8440
violette	0.7247
rhum	0.8261
