Label	AUC-ROC
vegetal	0.6369
fruite	0.7215
frais	0.6857
vegetal_vert	0.6730
doux	0.6802
gras	0.6567
floral	0.7093
boise	0.7085
vert	0.6617
aldehyde	0.6830
chimique	0.6555
empyreumatique	0.8540
balsamique	0.6893
aldehyde_frais	0.6508
fruit_exotique	0.7093
herbe	0.6483
legume	0.7025
fermentaire	0.6560
phenole	0.7908
epice	0.7256
fleur_d_arbuste	0.7100
cuit	0.8530
terreux	0.6207
fruit_sec	0.7413
fleur_du_jardin	0.6560
agrume	0.7794
oleagineux	0.7581
lactique	0.6770
soufre	0.9346
plante_aromatique	0.7242
animal	0.6802
fruit_a_coque	0.7586
moisi	0.6320
fruit_a_pepins	0.8023
torrefie	0.8352
medicinal	0.7906
vegetal_sec	0.6886
rose	0.6962
huile	0.6621
lactone	0.7276
menthe	0.8357
bois	0.7721
creme	0.6937
boissons_alcoolisees	0.7957
sucre_cuit	0.7912
baie	0.5639
poudre	0.7763
viande_cuite	0.9399
pomme	0.8580
malte	0.7846
mielle	0.7289
solvant	0.8654
ananas	0.8175
fruit_rouge	0.7527
coumarine	0.7928
caramel	0.8269
mineral	0.6257
resineux	0.8352
alliace	0.9636
fruit_a_noyau	0.7579
metal	0.6438
metallique	0.6315
peponide	0.7552
melon	0.7435
brule	0.8577
feuille	0.6273
alcool_de_fut	0.8533
ether	0.8638
boisson_fermentee	0.7724
camphre	0.8552
miel	0.7541
citronne	0.7958
racine	0.5981
oignon	0.9571
crucifere	0.8417
lacte	0.5956
fleur_d_arbre	0.7631
vin	0.7934
fromage	0.7925
poire	0.8654
banane	0.8575
champignon	0.7047
cafe	0.8970
cacao	0.7624
musque	0.8950
savon	0.8394
beurre	0.7798
noix_de_coco	0.9083
anise	0.8289
pin	0.8485
vanille	0.9206
jasmin	0.7335
ambre	0.8631
ail	0.9744
musc	0.9142
cereale	0.8687
peche	0.7816
cerise	0.8784
violette	0.7157
rhum	0.8337
