Label	AUC-ROC
vegetal	0.6826
fruite	0.7420
frais	0.7378
vegetal_vert	0.7173
doux	0.6913
gras	0.6567
floral	0.7501
boise	0.7602
vert	0.7432
aldehyde	0.7217
chimique	0.6811
empyreumatique	0.8037
balsamique	0.7546
aldehyde_frais	0.7122
fruit_exotique	0.7742
herbe	0.6997
legume	0.8182
fermentaire	0.6758
phenole	0.7652
epice	0.7109
fleur_d_arbuste	0.7814
cuit	0.7852
terreux	0.6603
fruit_sec	0.7807
fleur_du_jardin	0.7260
agrume	0.7711
oleagineux	0.8024
lactique	0.7305
soufre	0.9512
plante_aromatique	0.7763
animal	0.6836
fruit_a_coque	0.7982
moisi	0.6402
fruit_a_pepins	0.8619
torrefie	0.8579
medicinal	0.7976
vegetal_sec	0.6823
rose	0.8744
huile	0.7332
lactone	0.7354
menthe	0.8306
bois	0.8831
creme	0.7534
boissons_alcoolisees	0.7175
sucre_cuit	0.7833
baie	0.6780
poudre	0.8139
viande_cuite	0.8495
pomme	0.9160
malte	0.8630
mielle	0.7984
solvant	0.8094
ananas	0.8648
fruit_rouge	0.7339
coumarine	0.8295
caramel	0.8606
mineral	0.7055
resineux	0.9024
alliace	0.9663
fruit_a_noyau	0.7227
metal	0.7230
metallique	0.7213
peponide	0.9285
melon	0.9286
brule	0.8311
feuille	0.6324
alcool_de_fut	0.6996
ether	0.8380
boisson_fermentee	0.7623
camphre	0.8560
miel	0.8212
citronne	0.8336
racine	0.7458
oignon	0.9656
crucifere	0.9039
lacte	0.6932
fleur_d_arbre	0.7992
vin	0.8039
fromage	0.8488
poire	0.9265
banane	0.9113
champignon	0.7326
cafe	0.8500
cacao	0.8594
musque	0.9180
savon	0.8398
beurre	0.8128
noix_de_coco	0.8682
anise	0.7542
pin	0.9338
vanille	0.8969
jasmin	0.8082
ambre	0.9167
ail	0.9707
musc	0.9073
cereale	0.8719
peche	0.8229
cerise	0.8062
violette	0.8912
rhum	0.7441
