Label	AUC-ROC
vegetal	0.6925
fruite	0.7262
frais	0.7186
vegetal_vert	0.6958
doux	0.6432
gras	0.6587
floral	0.7135
boise	0.7145
vert	0.6590
aldehyde	0.7203
chimique	0.6574
empyreumatique	0.7954
balsamique	0.6534
aldehyde_frais	0.7136
fruit_exotique	0.7185
herbe	0.6975
legume	0.7552
fermentaire	0.7031
phenole	0.7950
epice	0.6878
fleur_d_arbuste	0.7100
cuit	0.7685
terreux	0.5799
fruit_sec	0.6960
fleur_du_jardin	0.6940
agrume	0.7632
oleagineux	0.7124
lactique	0.6902
soufre	0.9356
plante_aromatique	0.7309
animal	0.6151
fruit_a_coque	0.7637
moisi	0.6226
fruit_a_pepins	0.7626
torrefie	0.8217
medicinal	0.7674
vegetal_sec	0.6849
rose	0.7278
huile	0.7422
lactone	0.7232
menthe	0.8371
bois	0.8466
creme	0.6639
boissons_alcoolisees	0.8306
sucre_cuit	0.7114
baie	0.5923
poudre	0.7654
viande_cuite	0.8748
pomme	0.7842
malte	0.8085
mielle	0.8697
solvant	0.8684
ananas	0.8064
fruit_rouge	0.6656
coumarine	0.7832
caramel	0.7907
mineral	0.5501
resineux	0.8790
alliace	0.9565
fruit_a_noyau	0.7591
metal	0.5340
metallique	0.5442
peponide	0.7095
melon	0.7200
brule	0.8468
feuille	0.5888
alcool_de_fut	0.8662
ether	0.8687
boisson_fermentee	0.7893
camphre	0.9289
miel	0.8894
citronne	0.8417
racine	0.5829
oignon	0.9580
crucifere	0.8326
lacte	0.5959
fleur_d_arbre	0.7540
vin	0.7795
fromage	0.8588
poire	0.8468
banane	0.8772
champignon	0.7117
cafe	0.8450
cacao	0.7294
musque	0.8446
savon	0.7496
beurre	0.7457
noix_de_coco	0.8459
anise	0.7354
pin	0.8959
vanille	0.8259
jasmin	0.8273
ambre	0.8707
ail	0.9592
musc	0.8891
cereale	0.8582
peche	0.7088
cerise	0.7769
violette	0.7291
rhum	0.8663
