Label	AUC-ROC
vegetal	0.6852
fruite	0.7315
frais	0.7283
vegetal_vert	0.7108
doux	0.6820
gras	0.6463
floral	0.7351
boise	0.7470
vert	0.7278
aldehyde	0.7112
chimique	0.6650
empyreumatique	0.7970
balsamique	0.7232
aldehyde_frais	0.6977
fruit_exotique	0.7510
herbe	0.6914
legume	0.8042
fermentaire	0.6694
phenole	0.7344
epice	0.6844
fleur_d_arbuste	0.7563
cuit	0.7765
terreux	0.6598
fruit_sec	0.7404
fleur_du_jardin	0.7374
agrume	0.7793
oleagineux	0.7548
lactique	0.6984
soufre	0.9476
plante_aromatique	0.7742
animal	0.6555
fruit_a_coque	0.7804
moisi	0.6557
fruit_a_pepins	0.8412
torrefie	0.8496
medicinal	0.7568
vegetal_sec	0.6366
rose	0.8525
huile	0.6942
lactone	0.6478
menthe	0.8127
bois	0.8487
creme	0.7183
boissons_alcoolisees	0.6850
sucre_cuit	0.7799
baie	0.6162
poudre	0.7891
viande_cuite	0.8522
pomme	0.8795
malte	0.8604
mielle	0.7847
solvant	0.7716
ananas	0.8455
fruit_rouge	0.7062
coumarine	0.7408
caramel	0.8475
mineral	0.6890
resineux	0.8909
alliace	0.9638
fruit_a_noyau	0.7145
metal	0.7104
metallique	0.7099
peponide	0.9100
melon	0.9024
brule	0.8353
feuille	0.6647
alcool_de_fut	0.6867
ether	0.7824
boisson_fermentee	0.7263
camphre	0.8369
miel	0.7902
citronne	0.8060
racine	0.7304
oignon	0.9668
crucifere	0.9005
lacte	0.7398
fleur_d_arbre	0.7828
vin	0.7774
fromage	0.8422
poire	0.9304
banane	0.8910
champignon	0.6914
cafe	0.8538
cacao	0.8675
musque	0.8886
savon	0.8263
beurre	0.7734
noix_de_coco	0.8059
anise	0.7088
pin	0.9179
vanille	0.8903
jasmin	0.7416
ambre	0.9226
ail	0.9727
musc	0.9464
cereale	0.8735
peche	0.7963
cerise	0.7726
violette	0.8446
rhum	0.7063
