Label	AUC-ROC
vegetal	0.6873
fruite	0.7486
frais	0.7169
vegetal_vert	0.6972
doux	0.6762
gras	0.6830
floral	0.7448
boise	0.7283
vert	0.6789
aldehyde	0.7283
chimique	0.6965
empyreumatique	0.8093
balsamique	0.6837
aldehyde_frais	0.7234
fruit_exotique	0.7776
herbe	0.7025
legume	0.7669
fermentaire	0.6980
phenole	0.8045
epice	0.7136
fleur_d_arbuste	0.7673
cuit	0.7684
terreux	0.6098
fruit_sec	0.7504
fleur_du_jardin	0.7305
agrume	0.7856
oleagineux	0.7553
lactique	0.7292
soufre	0.9315
plante_aromatique	0.7307
animal	0.6492
fruit_a_coque	0.7570
moisi	0.6335
fruit_a_pepins	0.7863
torrefie	0.8478
medicinal	0.7886
vegetal_sec	0.6844
rose	0.7854
huile	0.7757
lactone	0.7738
menthe	0.8424
bois	0.8647
creme	0.7498
boissons_alcoolisees	0.8248
sucre_cuit	0.7327
baie	0.7190
poudre	0.8186
viande_cuite	0.8834
pomme	0.8191
malte	0.8247
mielle	0.8852
solvant	0.8813
ananas	0.8573
fruit_rouge	0.7303
coumarine	0.7828
caramel	0.8025
mineral	0.4986
resineux	0.8881
alliace	0.9622
fruit_a_noyau	0.8257
metal	0.5193
metallique	0.5208
peponide	0.7595
melon	0.7714
brule	0.8635
feuille	0.6651
alcool_de_fut	0.8891
ether	0.8952
boisson_fermentee	0.7761
camphre	0.9339
miel	0.9203
citronne	0.8864
racine	0.6495
oignon	0.9628
crucifere	0.7928
lacte	0.7307
fleur_d_arbre	0.7835
vin	0.7946
fromage	0.8163
poire	0.8478
banane	0.9282
champignon	0.7208
cafe	0.8877
cacao	0.7949
musque	0.8384
savon	0.7558
beurre	0.8183
noix_de_coco	0.9218
anise	0.7443
pin	0.9052
vanille	0.8555
jasmin	0.8629
ambre	0.8670
ail	0.9592
musc	0.8932
cereale	0.8378
peche	0.7712
cerise	0.7792
violette	0.8112
rhum	0.8845
