Label	AUC-ROC
vegetal	0.6880
fruite	0.7450
frais	0.7236
vegetal_vert	0.6981
doux	0.6857
gras	0.6937
floral	0.7386
boise	0.7322
vert	0.6912
aldehyde	0.7222
chimique	0.7019
empyreumatique	0.8049
balsamique	0.6852
aldehyde_frais	0.7235
fruit_exotique	0.7749
herbe	0.6948
legume	0.7709
fermentaire	0.7052
phenole	0.8022
epice	0.7247
fleur_d_arbuste	0.7546
cuit	0.7750
terreux	0.6084
fruit_sec	0.7413
fleur_du_jardin	0.7024
agrume	0.7800
oleagineux	0.7517
lactique	0.7229
soufre	0.9374
plante_aromatique	0.7148
animal	0.6399
fruit_a_coque	0.7752
moisi	0.6285
fruit_a_pepins	0.7888
torrefie	0.8324
medicinal	0.8019
vegetal_sec	0.7078
rose	0.7669
huile	0.7813
lactone	0.7777
menthe	0.8446
bois	0.8595
creme	0.7307
boissons_alcoolisees	0.8369
sucre_cuit	0.7372
baie	0.7169
poudre	0.7867
viande_cuite	0.8784
pomme	0.8190
malte	0.8237
mielle	0.8876
solvant	0.8885
ananas	0.8582
fruit_rouge	0.7323
coumarine	0.8061
caramel	0.7951
mineral	0.5630
resineux	0.8938
alliace	0.9595
fruit_a_noyau	0.8147
metal	0.5674
metallique	0.5737
peponide	0.7452
melon	0.7552
brule	0.8623
feuille	0.6743
alcool_de_fut	0.8899
ether	0.9005
boisson_fermentee	0.7842
camphre	0.9349
miel	0.9079
citronne	0.8788
racine	0.6126
oignon	0.9619
crucifere	0.8069
lacte	0.7300
fleur_d_arbre	0.7954
vin	0.8047
fromage	0.8328
poire	0.8625
banane	0.9145
champignon	0.7048
cafe	0.8873
cacao	0.7773
musque	0.8312
savon	0.7519
beurre	0.7895
noix_de_coco	0.9065
anise	0.7477
pin	0.8964
vanille	0.8444
jasmin	0.8562
ambre	0.8743
ail	0.9563
musc	0.8923
cereale	0.8597
peche	0.7736
cerise	0.7671
violette	0.7694
rhum	0.8781
