Label	AUC-ROC
vegetal	0.6960
fruite	0.7262
frais	0.7274
vegetal_vert	0.7108
doux	0.6871
gras	0.6506
floral	0.7312
boise	0.7458
vert	0.7275
aldehyde	0.7143
chimique	0.6777
empyreumatique	0.8035
balsamique	0.7131
aldehyde_frais	0.6990
fruit_exotique	0.7440
herbe	0.6885
legume	0.7996
fermentaire	0.6803
phenole	0.7384
epice	0.6818
fleur_d_arbuste	0.7635
cuit	0.7894
terreux	0.6716
fruit_sec	0.7465
fleur_du_jardin	0.7295
agrume	0.7852
oleagineux	0.7655
lactique	0.6994
soufre	0.9484
plante_aromatique	0.7674
animal	0.6412
fruit_a_coque	0.7867
moisi	0.6709
fruit_a_pepins	0.8354
torrefie	0.8554
medicinal	0.7656
vegetal_sec	0.6421
rose	0.8604
huile	0.6986
lactone	0.6671
menthe	0.8122
bois	0.8524
creme	0.7263
boissons_alcoolisees	0.6999
sucre_cuit	0.7801
baie	0.6406
poudre	0.7831
viande_cuite	0.8516
pomme	0.8692
malte	0.8665
mielle	0.7931
solvant	0.7848
ananas	0.8436
fruit_rouge	0.6861
coumarine	0.7495
caramel	0.8598
mineral	0.6909
resineux	0.8973
alliace	0.9664
fruit_a_noyau	0.7115
metal	0.7075
metallique	0.7003
peponide	0.9103
melon	0.9006
brule	0.8284
feuille	0.6473
alcool_de_fut	0.6950
ether	0.7893
boisson_fermentee	0.7246
camphre	0.8241
miel	0.8093
citronne	0.8134
racine	0.7469
oignon	0.9663
crucifere	0.9018
lacte	0.7121
fleur_d_arbre	0.7750
vin	0.7806
fromage	0.8413
poire	0.9274
banane	0.8893
champignon	0.6901
cafe	0.8599
cacao	0.8730
musque	0.8871
savon	0.8325
beurre	0.7788
noix_de_coco	0.8142
anise	0.6871
pin	0.9208
vanille	0.8880
jasmin	0.7422
ambre	0.9256
ail	0.9689
musc	0.9423
cereale	0.8849
peche	0.8047
cerise	0.7758
violette	0.8652
rhum	0.7226
