Label	AUC-ROC
vegetal	0.6457
fruite	0.7311
frais	0.7070
vegetal_vert	0.6933
doux	0.6961
gras	0.6750
floral	0.7254
boise	0.7094
vert	0.6690
aldehyde	0.6947
chimique	0.6560
empyreumatique	0.8595
balsamique	0.6901
aldehyde_frais	0.6646
fruit_exotique	0.7299
herbe	0.6623
legume	0.7027
fermentaire	0.6663
phenole	0.7849
epice	0.7262
fleur_d_arbuste	0.7367
cuit	0.8545
terreux	0.6300
fruit_sec	0.7597
fleur_du_jardin	0.6625
agrume	0.7868
oleagineux	0.7789
lactique	0.6940
soufre	0.9329
plante_aromatique	0.6932
animal	0.6812
fruit_a_coque	0.7695
moisi	0.6480
fruit_a_pepins	0.8057
torrefie	0.8374
medicinal	0.7748
vegetal_sec	0.7058
rose	0.7123
huile	0.6884
lactone	0.7268
menthe	0.8412
bois	0.7745
creme	0.7171
boissons_alcoolisees	0.7915
sucre_cuit	0.8123
baie	0.5900
poudre	0.7925
viande_cuite	0.9336
pomme	0.8503
malte	0.7923
mielle	0.7341
solvant	0.8771
ananas	0.8164
fruit_rouge	0.7907
coumarine	0.8076
caramel	0.8326
mineral	0.6378
resineux	0.8411
alliace	0.9610
fruit_a_noyau	0.7400
metal	0.6514
metallique	0.6382
peponide	0.7478
melon	0.7331
brule	0.8568
feuille	0.6481
alcool_de_fut	0.8466
ether	0.8812
boisson_fermentee	0.7764
camphre	0.8603
miel	0.7670
citronne	0.8287
racine	0.6114
oignon	0.9551
crucifere	0.8378
lacte	0.6525
fleur_d_arbre	0.7625
vin	0.8031
fromage	0.8140
poire	0.8641
banane	0.8596
champignon	0.6996
cafe	0.8911
cacao	0.7810
musque	0.9143
savon	0.8453
beurre	0.7936
noix_de_coco	0.9334
anise	0.8154
pin	0.8629
vanille	0.9339
jasmin	0.7779
ambre	0.8833
ail	0.9751
musc	0.9348
cereale	0.8629
peche	0.7590
cerise	0.8855
violette	0.7171
rhum	0.8117
