Label	AUC-ROC
vegetal	0.7089
fruite	0.7298
frais	0.7438
vegetal_vert	0.7474
doux	0.7231
gras	0.6685
floral	0.7926
boise	0.7347
vert	0.7380
aldehyde	0.7652
chimique	0.7105
empyreumatique	0.8018
balsamique	0.7165
aldehyde_frais	0.7556
fruit_exotique	0.7460
herbe	0.7323
legume	0.7809
fermentaire	0.6557
phenole	0.8208
epice	0.7405
fleur_d_arbuste	0.7387
cuit	0.7838
terreux	0.7063
fruit_sec	0.7518
fleur_du_jardin	0.7676
agrume	0.8101
oleagineux	0.7808
lactique	0.7072
soufre	0.8819
plante_aromatique	0.7538
animal	0.7064
fruit_a_coque	0.8112
moisi	0.6802
fruit_a_pepins	0.7786
torrefie	0.7905
medicinal	0.8552
vegetal_sec	0.6831
rose	0.7472
huile	0.7399
lactone	0.7882
menthe	0.8558
bois	0.8251
creme	0.6763
boissons_alcoolisees	0.7966
sucre_cuit	0.8236
baie	0.7597
poudre	0.8450
viande_cuite	0.8373
pomme	0.8509
malte	0.7776
mielle	0.8006
solvant	0.7972
ananas	0.8343
fruit_rouge	0.7622
coumarine	0.7683
caramel	0.8663
mineral	0.6947
resineux	0.8871
alliace	0.9619
fruit_a_noyau	0.7702
metal	0.7144
metallique	0.7133
peponide	0.8107
melon	0.8106
brule	0.8669
feuille	0.6568
alcool_de_fut	0.8347
ether	0.8668
boisson_fermentee	0.7655
camphre	0.9282
miel	0.7657
citronne	0.8458
racine	0.5504
oignon	0.9793
crucifere	0.7844
lacte	0.7454
fleur_d_arbre	0.7717
vin	0.7901
fromage	0.7921
poire	0.8287
banane	0.8669
champignon	0.6958
cafe	0.8495
cacao	0.7214
musque	0.9579
savon	0.7918
beurre	0.8341
noix_de_coco	0.8296
anise	0.6545
pin	0.9494
vanille	0.8853
jasmin	0.9096
ambre	0.9082
ail	0.9749
musc	0.9801
cereale	0.8923
peche	0.8102
cerise	0.8180
violette	0.8490
rhum	0.8290
