Label	AUC-ROC
vegetal	0.6809
fruite	0.7485
frais	0.7377
vegetal_vert	0.7126
doux	0.6862
gras	0.6559
floral	0.7502
boise	0.7579
vert	0.7361
aldehyde	0.7189
chimique	0.6930
empyreumatique	0.8102
balsamique	0.7421
aldehyde_frais	0.7050
fruit_exotique	0.7653
herbe	0.6956
legume	0.8155
fermentaire	0.7005
phenole	0.7806
epice	0.7274
fleur_d_arbuste	0.7803
cuit	0.7941
terreux	0.6730
fruit_sec	0.7798
fleur_du_jardin	0.7328
agrume	0.7665
oleagineux	0.8045
lactique	0.7367
soufre	0.9526
plante_aromatique	0.7723
animal	0.6834
fruit_a_coque	0.7992
moisi	0.6724
fruit_a_pepins	0.8613
torrefie	0.8648
medicinal	0.8221
vegetal_sec	0.6747
rose	0.8749
huile	0.7226
lactone	0.7376
menthe	0.8408
bois	0.8841
creme	0.7552
boissons_alcoolisees	0.7300
sucre_cuit	0.7848
baie	0.6899
poudre	0.8228
viande_cuite	0.8539
pomme	0.9112
malte	0.8631
mielle	0.7984
solvant	0.8160
ananas	0.8746
fruit_rouge	0.7260
coumarine	0.8392
caramel	0.8674
mineral	0.7055
resineux	0.9109
alliace	0.9677
fruit_a_noyau	0.7214
metal	0.7224
metallique	0.7183
peponide	0.9195
melon	0.9190
brule	0.8106
feuille	0.6319
alcool_de_fut	0.6938
ether	0.8414
boisson_fermentee	0.7846
camphre	0.8720
miel	0.8254
citronne	0.8244
racine	0.7335
oignon	0.9676
crucifere	0.9079
lacte	0.7127
fleur_d_arbre	0.8058
vin	0.8189
fromage	0.8508
poire	0.9137
banane	0.9200
champignon	0.7409
cafe	0.8682
cacao	0.8560
musque	0.9166
savon	0.8529
beurre	0.8274
noix_de_coco	0.8620
anise	0.7575
pin	0.9400
vanille	0.9101
jasmin	0.7858
ambre	0.9173
ail	0.9704
musc	0.9189
cereale	0.8944
peche	0.7998
cerise	0.8233
violette	0.8789
rhum	0.7458
