Label	AUC-ROC
vegetal	0.6694
fruite	0.7054
frais	0.7241
vegetal_vert	0.7044
doux	0.6437
gras	0.6453
floral	0.7287
boise	0.7367
vert	0.7431
aldehyde	0.7012
chimique	0.6637
empyreumatique	0.7904
balsamique	0.7059
aldehyde_frais	0.6914
fruit_exotique	0.7252
herbe	0.6767
legume	0.7943
fermentaire	0.6776
phenole	0.7408
epice	0.7083
fleur_d_arbuste	0.7444
cuit	0.7695
terreux	0.5753
fruit_sec	0.7492
fleur_du_jardin	0.7238
agrume	0.7826
oleagineux	0.7739
lactique	0.6812
soufre	0.9519
plante_aromatique	0.7771
animal	0.6254
fruit_a_coque	0.7927
moisi	0.6849
fruit_a_pepins	0.7846
torrefie	0.8564
medicinal	0.7771
vegetal_sec	0.6152
rose	0.8584
huile	0.6944
lactone	0.6695
menthe	0.8018
bois	0.8564
creme	0.6754
boissons_alcoolisees	0.6581
sucre_cuit	0.7599
baie	0.5703
poudre	0.7700
viande_cuite	0.8307
pomme	0.8480
malte	0.8485
mielle	0.7727
solvant	0.7826
ananas	0.7822
fruit_rouge	0.6412
coumarine	0.7490
caramel	0.8530
mineral	0.6981
resineux	0.8858
alliace	0.9637
fruit_a_noyau	0.6459
metal	0.7090
metallique	0.7140
peponide	0.8789
melon	0.8787
brule	0.8212
feuille	0.6506
alcool_de_fut	0.6655
ether	0.8046
boisson_fermentee	0.6826
camphre	0.8212
miel	0.7468
citronne	0.8194
racine	0.7196
oignon	0.9628
crucifere	0.9053
lacte	0.7025
fleur_d_arbre	0.8113
vin	0.7171
fromage	0.8410
poire	0.9003
banane	0.8559
champignon	0.6718
cafe	0.8620
cacao	0.8462
musque	0.8826
savon	0.8105
beurre	0.7304
noix_de_coco	0.7804
anise	0.7405
pin	0.9183
vanille	0.8389
jasmin	0.6938
ambre	0.9230
ail	0.9667
musc	0.9344
cereale	0.8810
peche	0.7581
cerise	0.7304
violette	0.8212
rhum	0.6846
