Label	AUC-ROC
vegetal	0.6829
fruite	0.7370
frais	0.7175
vegetal_vert	0.6948
doux	0.6482
gras	0.6829
floral	0.7340
boise	0.7239
vert	0.6799
aldehyde	0.7182
chimique	0.6616
empyreumatique	0.8009
balsamique	0.6645
aldehyde_frais	0.7186
fruit_exotique	0.7515
herbe	0.6877
legume	0.7651
fermentaire	0.6983
phenole	0.7955
epice	0.7118
fleur_d_arbuste	0.7426
cuit	0.7729
terreux	0.5820
fruit_sec	0.7032
fleur_du_jardin	0.6958
agrume	0.7760
oleagineux	0.7169
lactique	0.7130
soufre	0.9364
plante_aromatique	0.7271
animal	0.6232
fruit_a_coque	0.7523
moisi	0.6080
fruit_a_pepins	0.7682
torrefie	0.8293
medicinal	0.7698
vegetal_sec	0.7032
rose	0.7548
huile	0.7666
lactone	0.7609
menthe	0.8322
bois	0.8602
creme	0.7209
boissons_alcoolisees	0.8371
sucre_cuit	0.7282
baie	0.6807
poudre	0.8013
viande_cuite	0.8805
pomme	0.7920
malte	0.8202
mielle	0.8861
solvant	0.8689
ananas	0.8291
fruit_rouge	0.6962
coumarine	0.7627
caramel	0.7956
mineral	0.5660
resineux	0.8926
alliace	0.9601
fruit_a_noyau	0.8084
metal	0.5795
metallique	0.5835
peponide	0.7291
melon	0.7360
brule	0.8328
feuille	0.6745
alcool_de_fut	0.8706
ether	0.8824
boisson_fermentee	0.7997
camphre	0.9202
miel	0.9023
citronne	0.8573
racine	0.6085
oignon	0.9606
crucifere	0.8274
lacte	0.6861
fleur_d_arbre	0.7821
vin	0.7978
fromage	0.8415
poire	0.8292
banane	0.8882
champignon	0.7073
cafe	0.8620
cacao	0.7650
musque	0.8383
savon	0.7370
beurre	0.7837
noix_de_coco	0.8820
anise	0.7386
pin	0.8989
vanille	0.8132
jasmin	0.8755
ambre	0.8690
ail	0.9539
musc	0.8943
cereale	0.8643
peche	0.7641
cerise	0.7631
violette	0.7670
rhum	0.8536
