Label	AUC-ROC
vegetal	0.6621
fruite	0.7528
frais	0.7272
vegetal_vert	0.7073
doux	0.7064
gras	0.6986
floral	0.7519
boise	0.7201
vert	0.7062
aldehyde	0.7032
chimique	0.6823
empyreumatique	0.8656
balsamique	0.7234
aldehyde_frais	0.6802
fruit_exotique	0.7658
herbe	0.6694
legume	0.7512
fermentaire	0.6694
phenole	0.8142
epice	0.7365
fleur_d_arbuste	0.7294
cuit	0.8602
terreux	0.6681
fruit_sec	0.7771
fleur_du_jardin	0.7086
agrume	0.7856
oleagineux	0.7939
lactique	0.7049
soufre	0.9473
plante_aromatique	0.7005
animal	0.7521
fruit_a_coque	0.7835
moisi	0.6907
fruit_a_pepins	0.8486
torrefie	0.8691
medicinal	0.8338
vegetal_sec	0.6826
rose	0.7211
huile	0.6919
lactone	0.7549
menthe	0.8464
bois	0.7864
creme	0.7345
boissons_alcoolisees	0.8275
sucre_cuit	0.7985
baie	0.6603
poudre	0.7773
viande_cuite	0.9476
pomme	0.8728
malte	0.8202
mielle	0.7426
solvant	0.8941
ananas	0.8363
fruit_rouge	0.8095
coumarine	0.7866
caramel	0.8366
mineral	0.6568
resineux	0.8529
alliace	0.9751
fruit_a_noyau	0.7821
metal	0.6896
metallique	0.6769
peponide	0.7622
melon	0.7599
brule	0.8693
feuille	0.7079
alcool_de_fut	0.8780
ether	0.8985
boisson_fermentee	0.7951
camphre	0.8862
miel	0.7870
citronne	0.8179
racine	0.6056
oignon	0.9750
crucifere	0.8726
lacte	0.6886
fleur_d_arbre	0.7892
vin	0.8155
fromage	0.7925
poire	0.9021
banane	0.8754
champignon	0.7744
cafe	0.9287
cacao	0.8177
musque	0.8983
savon	0.8541
beurre	0.7922
noix_de_coco	0.9264
anise	0.8071
pin	0.8814
vanille	0.9506
jasmin	0.7842
ambre	0.8732
ail	0.9765
musc	0.9152
cereale	0.8730
peche	0.8084
cerise	0.8945
violette	0.7584
rhum	0.8760
