Label	AUC-ROC
vegetal	0.6571
fruite	0.7288
frais	0.7204
vegetal_vert	0.7089
doux	0.6516
gras	0.6698
floral	0.7497
boise	0.7103
vert	0.7106
aldehyde	0.7054
chimique	0.6713
empyreumatique	0.8091
balsamique	0.6962
aldehyde_frais	0.7056
fruit_exotique	0.7396
herbe	0.6976
legume	0.7435
fermentaire	0.6625
phenole	0.7544
epice	0.6723
fleur_d_arbuste	0.7643
cuit	0.7677
terreux	0.5947
fruit_sec	0.7231
fleur_du_jardin	0.7339
agrume	0.8094
oleagineux	0.7718
lactique	0.7290
soufre	0.8989
plante_aromatique	0.7140
animal	0.7077
fruit_a_coque	0.7684
moisi	0.6261
fruit_a_pepins	0.8176
torrefie	0.8413
medicinal	0.7858
vegetal_sec	0.7087
rose	0.7991
huile	0.7607
lactone	0.7555
menthe	0.8366
bois	0.8037
creme	0.7351
boissons_alcoolisees	0.8437
sucre_cuit	0.7854
baie	0.6720
poudre	0.7624
viande_cuite	0.8613
pomme	0.8759
malte	0.7853
mielle	0.7392
solvant	0.9100
ananas	0.8475
fruit_rouge	0.7116
coumarine	0.7873
caramel	0.8421
mineral	0.6536
resineux	0.8396
alliace	0.9729
fruit_a_noyau	0.7725
metal	0.6570
metallique	0.6514
peponide	0.7782
melon	0.7779
brule	0.8715
feuille	0.7113
alcool_de_fut	0.8765
ether	0.9206
boisson_fermentee	0.8094
camphre	0.8178
miel	0.7239
citronne	0.7442
racine	0.5578
oignon	0.9646
crucifere	0.7871
lacte	0.7365
fleur_d_arbre	0.7848
vin	0.8055
fromage	0.7926
poire	0.8992
banane	0.8540
champignon	0.7430
cafe	0.8875
cacao	0.7794
musque	0.9193
savon	0.7116
beurre	0.8123
noix_de_coco	0.9148
anise	0.7175
pin	0.8950
vanille	0.7838
jasmin	0.8404
ambre	0.9468
ail	0.9716
musc	0.9434
cereale	0.8129
peche	0.7704
cerise	0.7634
violette	0.8094
rhum	0.8426
