Label	AUC-ROC
vegetal	0.6593
fruite	0.7370
frais	0.7233
vegetal_vert	0.7127
doux	0.6754
gras	0.6745
floral	0.7551
boise	0.7043
vert	0.7160
aldehyde	0.7123
chimique	0.7027
empyreumatique	0.8181
balsamique	0.7070
aldehyde_frais	0.7147
fruit_exotique	0.7446
herbe	0.7058
legume	0.7472
fermentaire	0.6790
phenole	0.7695
epice	0.6957
fleur_d_arbuste	0.7782
cuit	0.7762
terreux	0.6029
fruit_sec	0.7327
fleur_du_jardin	0.7405
agrume	0.8240
oleagineux	0.7844
lactique	0.7247
soufre	0.9050
plante_aromatique	0.7280
animal	0.7207
fruit_a_coque	0.7850
moisi	0.6610
fruit_a_pepins	0.8241
torrefie	0.8425
medicinal	0.8152
vegetal_sec	0.7218
rose	0.8145
huile	0.7691
lactone	0.7814
menthe	0.8534
bois	0.8007
creme	0.7322
boissons_alcoolisees	0.8570
sucre_cuit	0.7878
baie	0.6910
poudre	0.8010
viande_cuite	0.8932
pomme	0.8739
malte	0.7991
mielle	0.7376
solvant	0.9095
ananas	0.8365
fruit_rouge	0.6843
coumarine	0.8133
caramel	0.8389
mineral	0.6370
resineux	0.8408
alliace	0.9753
fruit_a_noyau	0.7879
metal	0.6500
metallique	0.6365
peponide	0.7926
melon	0.7922
brule	0.8805
feuille	0.7335
alcool_de_fut	0.8893
ether	0.9226
boisson_fermentee	0.8309
camphre	0.8453
miel	0.7383
citronne	0.7449
racine	0.4633
oignon	0.9653
crucifere	0.8131
lacte	0.7235
fleur_d_arbre	0.7826
vin	0.8317
fromage	0.7887
poire	0.9038
banane	0.8528
champignon	0.7488
cafe	0.8846
cacao	0.7903
musque	0.9060
savon	0.7302
beurre	0.7964
noix_de_coco	0.9170
anise	0.6944
pin	0.8958
vanille	0.8144
jasmin	0.8287
ambre	0.9517
ail	0.9705
musc	0.9396
cereale	0.8148
peche	0.8045
cerise	0.7431
violette	0.8077
rhum	0.8609
