Label	AUC-ROC
vegetal	0.6991
fruite	0.7445
frais	0.7280
vegetal_vert	0.7080
doux	0.6814
gras	0.6969
floral	0.7297
boise	0.7208
vert	0.6930
aldehyde	0.7297
chimique	0.6649
empyreumatique	0.7987
balsamique	0.6769
aldehyde_frais	0.7242
fruit_exotique	0.7419
herbe	0.6991
legume	0.7739
fermentaire	0.7004
phenole	0.7820
epice	0.7174
fleur_d_arbuste	0.7357
cuit	0.7704
terreux	0.6025
fruit_sec	0.7147
fleur_du_jardin	0.6991
agrume	0.7763
oleagineux	0.7278
lactique	0.7060
soufre	0.9410
plante_aromatique	0.7218
animal	0.6138
fruit_a_coque	0.7665
moisi	0.5844
fruit_a_pepins	0.7763
torrefie	0.8238
medicinal	0.7709
vegetal_sec	0.7125
rose	0.7620
huile	0.7727
lactone	0.7443
menthe	0.8254
bois	0.8446
creme	0.7200
boissons_alcoolisees	0.8347
sucre_cuit	0.7168
baie	0.6846
poudre	0.7630
viande_cuite	0.8852
pomme	0.7931
malte	0.8142
mielle	0.8917
solvant	0.8704
ananas	0.8129
fruit_rouge	0.6944
coumarine	0.7953
caramel	0.7926
mineral	0.5243
resineux	0.8797
alliace	0.9614
fruit_a_noyau	0.7746
metal	0.5330
metallique	0.5490
peponide	0.7585
melon	0.7676
brule	0.8424
feuille	0.6874
alcool_de_fut	0.8775
ether	0.8838
boisson_fermentee	0.7879
camphre	0.9166
miel	0.8973
citronne	0.8606
racine	0.5916
oignon	0.9641
crucifere	0.8489
lacte	0.6484
fleur_d_arbre	0.8150
vin	0.7866
fromage	0.8448
poire	0.8580
banane	0.8700
champignon	0.7371
cafe	0.8545
cacao	0.7537
musque	0.8496
savon	0.7574
beurre	0.7988
noix_de_coco	0.8982
anise	0.6991
pin	0.8818
vanille	0.8440
jasmin	0.8324
ambre	0.8667
ail	0.9561
musc	0.9015
cereale	0.8684
peche	0.7520
cerise	0.7532
violette	0.7642
rhum	0.8700
