Label	AUC-ROC
vegetal	0.6397
fruite	0.7226
frais	0.6883
vegetal_vert	0.6828
doux	0.6806
gras	0.6464
floral	0.7124
boise	0.6894
vert	0.6580
aldehyde	0.6963
chimique	0.6477
empyreumatique	0.8546
balsamique	0.6582
aldehyde_frais	0.6541
fruit_exotique	0.7068
herbe	0.6508
legume	0.7247
fermentaire	0.6509
phenole	0.7698
epice	0.7099
fleur_d_arbuste	0.7167
cuit	0.8559
terreux	0.6583
fruit_sec	0.7263
fleur_du_jardin	0.6582
agrume	0.7826
oleagineux	0.7534
lactique	0.6559
soufre	0.9322
plante_aromatique	0.7194
animal	0.6992
fruit_a_coque	0.7530
moisi	0.6270
fruit_a_pepins	0.8115
torrefie	0.8273
medicinal	0.7684
vegetal_sec	0.6946
rose	0.6991
huile	0.6746
lactone	0.6850
menthe	0.8256
bois	0.7479
creme	0.6778
boissons_alcoolisees	0.7844
sucre_cuit	0.7749
baie	0.6091
poudre	0.7729
viande_cuite	0.9353
pomme	0.8521
malte	0.7734
mielle	0.7265
solvant	0.8700
ananas	0.8006
fruit_rouge	0.7558
coumarine	0.7580
caramel	0.8146
mineral	0.6615
resineux	0.8263
alliace	0.9688
fruit_a_noyau	0.7237
metal	0.6925
metallique	0.6665
peponide	0.7586
melon	0.7516
brule	0.8500
feuille	0.6671
alcool_de_fut	0.8409
ether	0.8662
boisson_fermentee	0.7764
camphre	0.8531
miel	0.7538
citronne	0.8278
racine	0.6808
oignon	0.9644
crucifere	0.8417
lacte	0.5647
fleur_d_arbre	0.7429
vin	0.8050
fromage	0.8178
poire	0.8919
banane	0.8369
champignon	0.6891
cafe	0.8750
cacao	0.7388
musque	0.9007
savon	0.8450
beurre	0.7786
noix_de_coco	0.8431
anise	0.7572
pin	0.8378
vanille	0.8863
jasmin	0.7548
ambre	0.8833
ail	0.9727
musc	0.9160
cereale	0.8620
peche	0.7464
cerise	0.8800
violette	0.7131
rhum	0.7846
