Label	AUC-ROC
vegetal	0.6439
fruite	0.7247
frais	0.7064
vegetal_vert	0.6984
doux	0.6163
gras	0.6600
floral	0.7501
boise	0.6974
vert	0.7029
aldehyde	0.7022
chimique	0.6440
empyreumatique	0.8075
balsamique	0.6468
aldehyde_frais	0.7049
fruit_exotique	0.7425
herbe	0.7066
legume	0.7131
fermentaire	0.6872
phenole	0.7326
epice	0.6819
fleur_d_arbuste	0.7502
cuit	0.7815
terreux	0.5202
fruit_sec	0.6965
fleur_du_jardin	0.7521
agrume	0.7816
oleagineux	0.7392
lactique	0.6751
soufre	0.8990
plante_aromatique	0.7350
animal	0.7146
fruit_a_coque	0.7596
moisi	0.6467
fruit_a_pepins	0.8242
torrefie	0.8319
medicinal	0.7462
vegetal_sec	0.6651
rose	0.7961
huile	0.7481
lactone	0.6958
menthe	0.8270
bois	0.8095
creme	0.6841
boissons_alcoolisees	0.8228
sucre_cuit	0.7912
baie	0.6377
poudre	0.7039
viande_cuite	0.8793
pomme	0.8886
malte	0.7879
mielle	0.7179
solvant	0.8922
ananas	0.8080
fruit_rouge	0.6753
coumarine	0.7340
caramel	0.8450
mineral	0.6144
resineux	0.8538
alliace	0.9699
fruit_a_noyau	0.7428
metal	0.6234
metallique	0.6094
peponide	0.7825
melon	0.7835
brule	0.8522
feuille	0.7371
alcool_de_fut	0.8774
ether	0.9104
boisson_fermentee	0.7883
camphre	0.8211
miel	0.7121
citronne	0.6957
racine	0.5545
oignon	0.9571
crucifere	0.7933
lacte	0.7205
fleur_d_arbre	0.7217
vin	0.7862
fromage	0.7673
poire	0.8741
banane	0.8698
champignon	0.7353
cafe	0.8494
cacao	0.7530
musque	0.8596
savon	0.7450
beurre	0.6935
noix_de_coco	0.8546
anise	0.7457
pin	0.9113
vanille	0.7916
jasmin	0.7226
ambre	0.9298
ail	0.9708
musc	0.9068
cereale	0.8138
peche	0.8021
cerise	0.7378
violette	0.7791
rhum	0.8424
