Label	AUC-ROC
vegetal	0.7098
fruite	0.7326
frais	0.7456
vegetal_vert	0.7532
doux	0.7295
gras	0.6695
floral	0.7803
boise	0.7307
vert	0.7288
aldehyde	0.7663
chimique	0.6918
empyreumatique	0.8023
balsamique	0.7237
aldehyde_frais	0.7527
fruit_exotique	0.7547
herbe	0.7221
legume	0.7774
fermentaire	0.6730
phenole	0.8193
epice	0.7327
fleur_d_arbuste	0.7360
cuit	0.7882
terreux	0.7087
fruit_sec	0.7479
fleur_du_jardin	0.7599
agrume	0.8045
oleagineux	0.7794
lactique	0.7107
soufre	0.8809
plante_aromatique	0.7503
animal	0.6927
fruit_a_coque	0.8155
moisi	0.6921
fruit_a_pepins	0.7711
torrefie	0.7877
medicinal	0.8516
vegetal_sec	0.6790
rose	0.7467
huile	0.7367
lactone	0.7806
menthe	0.8751
bois	0.8347
creme	0.6798
boissons_alcoolisees	0.7895
sucre_cuit	0.8214
baie	0.7653
poudre	0.8404
viande_cuite	0.8291
pomme	0.8402
malte	0.7910
mielle	0.8141
solvant	0.8028
ananas	0.8303
fruit_rouge	0.7250
coumarine	0.7640
caramel	0.8724
mineral	0.7051
resineux	0.8895
alliace	0.9542
fruit_a_noyau	0.7526
metal	0.7135
metallique	0.7144
peponide	0.8028
melon	0.8028
brule	0.8419
feuille	0.6802
alcool_de_fut	0.8262
ether	0.8632
boisson_fermentee	0.7509
camphre	0.9307
miel	0.7973
citronne	0.8481
racine	0.5458
oignon	0.9794
crucifere	0.7855
lacte	0.7217
fleur_d_arbre	0.7724
vin	0.7827
fromage	0.7964
poire	0.8203
banane	0.8750
champignon	0.7150
cafe	0.8640
cacao	0.7528
musque	0.9545
savon	0.7699
beurre	0.8237
noix_de_coco	0.8382
anise	0.6702
pin	0.9369
vanille	0.8947
jasmin	0.9002
ambre	0.9155
ail	0.9743
musc	0.9795
cereale	0.9042
peche	0.8248
cerise	0.7590
violette	0.9009
rhum	0.8316
