Label	AUC-ROC
vegetal	0.6806
fruite	0.7489
frais	0.7146
vegetal_vert	0.6920
doux	0.6450
gras	0.6692
floral	0.7325
boise	0.7181
vert	0.6792
aldehyde	0.7179
chimique	0.7140
empyreumatique	0.8054
balsamique	0.6643
aldehyde_frais	0.7058
fruit_exotique	0.7721
herbe	0.6794
legume	0.7784
fermentaire	0.7065
phenole	0.8031
epice	0.6910
fleur_d_arbuste	0.7339
cuit	0.7754
terreux	0.6132
fruit_sec	0.7383
fleur_du_jardin	0.7253
agrume	0.7843
oleagineux	0.7462
lactique	0.7259
soufre	0.9380
plante_aromatique	0.7273
animal	0.6591
fruit_a_coque	0.7619
moisi	0.6457
fruit_a_pepins	0.7947
torrefie	0.8424
medicinal	0.7838
vegetal_sec	0.7058
rose	0.7675
huile	0.7717
lactone	0.7698
menthe	0.8576
bois	0.8673
creme	0.7460
boissons_alcoolisees	0.8231
sucre_cuit	0.7354
baie	0.6678
poudre	0.8021
viande_cuite	0.8930
pomme	0.8263
malte	0.8214
mielle	0.8787
solvant	0.9035
ananas	0.8466
fruit_rouge	0.7396
coumarine	0.8099
caramel	0.7947
mineral	0.5558
resineux	0.8907
alliace	0.9601
fruit_a_noyau	0.8404
metal	0.5662
metallique	0.5736
peponide	0.7551
melon	0.7589
brule	0.8367
feuille	0.6698
alcool_de_fut	0.8758
ether	0.9133
boisson_fermentee	0.7692
camphre	0.9363
miel	0.9027
citronne	0.8669
racine	0.6832
oignon	0.9630
crucifere	0.8190
lacte	0.7197
fleur_d_arbre	0.7734
vin	0.7894
fromage	0.8190
poire	0.8553
banane	0.9252
champignon	0.7336
cafe	0.8797
cacao	0.7818
musque	0.8308
savon	0.7415
beurre	0.7993
noix_de_coco	0.9288
anise	0.7329
pin	0.8994
vanille	0.7965
jasmin	0.8413
ambre	0.8599
ail	0.9604
musc	0.8861
cereale	0.8485
peche	0.7827
cerise	0.7978
violette	0.7967
rhum	0.8598
