Label	AUC-ROC
vegetal	0.6539
fruite	0.7281
frais	0.7237
vegetal_vert	0.7069
doux	0.6541
gras	0.6628
floral	0.7570
boise	0.7070
vert	0.7161
aldehyde	0.7066
chimique	0.6675
empyreumatique	0.8112
balsamique	0.6862
aldehyde_frais	0.7101
fruit_exotique	0.7401
herbe	0.7011
legume	0.7371
fermentaire	0.6654
phenole	0.7551
epice	0.6822
fleur_d_arbuste	0.7719
cuit	0.7727
terreux	0.5886
fruit_sec	0.7123
fleur_du_jardin	0.7482
agrume	0.8241
oleagineux	0.7644
lactique	0.7261
soufre	0.9010
plante_aromatique	0.7073
animal	0.7053
fruit_a_coque	0.7630
moisi	0.6214
fruit_a_pepins	0.8098
torrefie	0.8412
medicinal	0.7874
vegetal_sec	0.7108
rose	0.8076
huile	0.7677
lactone	0.7601
menthe	0.8484
bois	0.8058
creme	0.7281
boissons_alcoolisees	0.8438
sucre_cuit	0.7723
baie	0.6463
poudre	0.7579
viande_cuite	0.8727
pomme	0.8665
malte	0.7913
mielle	0.7405
solvant	0.9046
ananas	0.8498
fruit_rouge	0.6999
coumarine	0.7871
caramel	0.8398
mineral	0.6570
resineux	0.8435
alliace	0.9700
fruit_a_noyau	0.7871
metal	0.6564
metallique	0.6481
peponide	0.7765
melon	0.7771
brule	0.8720
feuille	0.7182
alcool_de_fut	0.8703
ether	0.9154
boisson_fermentee	0.8200
camphre	0.8381
miel	0.7270
citronne	0.7675
racine	0.5318
oignon	0.9622
crucifere	0.7951
lacte	0.7541
fleur_d_arbre	0.7813
vin	0.8155
fromage	0.8014
poire	0.8868
banane	0.8438
champignon	0.7632
cafe	0.8846
cacao	0.7989
musque	0.8929
savon	0.7312
beurre	0.8474
noix_de_coco	0.9142
anise	0.7195
pin	0.9045
vanille	0.7994
jasmin	0.8308
ambre	0.9376
ail	0.9711
musc	0.9388
cereale	0.8119
peche	0.8072
cerise	0.7756
violette	0.8369
rhum	0.8365
