Label	AUC-ROC
vegetal	0.6738
fruite	0.7337
frais	0.7205
vegetal_vert	0.6922
doux	0.6841
gras	0.6465
floral	0.7419
boise	0.7517
vert	0.7281
aldehyde	0.6919
chimique	0.6929
empyreumatique	0.8058
balsamique	0.7374
aldehyde_frais	0.6880
fruit_exotique	0.7656
herbe	0.6879
legume	0.8015
fermentaire	0.6838
phenole	0.7738
epice	0.7127
fleur_d_arbuste	0.7733
cuit	0.7859
terreux	0.6588
fruit_sec	0.7690
fleur_du_jardin	0.7207
agrume	0.7627
oleagineux	0.7914
lactique	0.7317
soufre	0.9474
plante_aromatique	0.7580
animal	0.6729
fruit_a_coque	0.7956
moisi	0.6384
fruit_a_pepins	0.8642
torrefie	0.8576
medicinal	0.8054
vegetal_sec	0.6900
rose	0.8655
huile	0.7159
lactone	0.7138
menthe	0.8320
bois	0.8678
creme	0.7450
boissons_alcoolisees	0.7326
sucre_cuit	0.7739
baie	0.6665
poudre	0.8189
viande_cuite	0.8529
pomme	0.9161
malte	0.8628
mielle	0.7873
solvant	0.8053
ananas	0.8620
fruit_rouge	0.7511
coumarine	0.8336
caramel	0.8633
mineral	0.6993
resineux	0.8943
alliace	0.9629
fruit_a_noyau	0.7360
metal	0.7155
metallique	0.7071
peponide	0.9192
melon	0.9161
brule	0.8278
feuille	0.6248
alcool_de_fut	0.7070
ether	0.8281
boisson_fermentee	0.7714
camphre	0.8543
miel	0.7965
citronne	0.7982
racine	0.7302
oignon	0.9620
crucifere	0.9061
lacte	0.6898
fleur_d_arbre	0.8116
vin	0.8125
fromage	0.8548
poire	0.9314
banane	0.9065
champignon	0.7314
cafe	0.8507
cacao	0.8613
musque	0.9001
savon	0.8423
beurre	0.8104
noix_de_coco	0.8550
anise	0.7314
pin	0.9171
vanille	0.9024
jasmin	0.8080
ambre	0.9231
ail	0.9697
musc	0.9068
cereale	0.8823
peche	0.8082
cerise	0.8154
violette	0.8498
rhum	0.7759
