Label	AUC-ROC
vegetal	0.6480
fruite	0.7458
frais	0.7156
vegetal_vert	0.6995
doux	0.7233
gras	0.6917
floral	0.7595
boise	0.7231
vert	0.6953
aldehyde	0.7008
chimique	0.7197
empyreumatique	0.8586
balsamique	0.7455
aldehyde_frais	0.6746
fruit_exotique	0.7613
herbe	0.6699
legume	0.7488
fermentaire	0.6821
phenole	0.8139
epice	0.7236
fleur_d_arbuste	0.7706
cuit	0.8504
terreux	0.6525
fruit_sec	0.7790
fleur_du_jardin	0.7168
agrume	0.7933
oleagineux	0.8012
lactique	0.7100
soufre	0.9507
plante_aromatique	0.7012
animal	0.7367
fruit_a_coque	0.7697
moisi	0.6565
fruit_a_pepins	0.8504
torrefie	0.8455
medicinal	0.8286
vegetal_sec	0.7078
rose	0.7433
huile	0.6898
lactone	0.7511
menthe	0.8544
bois	0.7790
creme	0.7269
boissons_alcoolisees	0.8313
sucre_cuit	0.8045
baie	0.6546
poudre	0.7905
viande_cuite	0.9149
pomme	0.8903
malte	0.7879
mielle	0.7390
solvant	0.8871
ananas	0.8204
fruit_rouge	0.8129
coumarine	0.7979
caramel	0.8275
mineral	0.6883
resineux	0.8534
alliace	0.9746
fruit_a_noyau	0.8184
metal	0.7060
metallique	0.6920
peponide	0.7591
melon	0.7571
brule	0.8565
feuille	0.6689
alcool_de_fut	0.8786
ether	0.8944
boisson_fermentee	0.8056
camphre	0.8929
miel	0.7809
citronne	0.8417
racine	0.5872
oignon	0.9735
crucifere	0.8731
lacte	0.6445
fleur_d_arbre	0.7674
vin	0.8301
fromage	0.8299
poire	0.9130
banane	0.8775
champignon	0.7238
cafe	0.9147
cacao	0.7794
musque	0.9055
savon	0.8441
beurre	0.8073
noix_de_coco	0.9317
anise	0.8112
pin	0.8582
vanille	0.9262
jasmin	0.8294
ambre	0.8994
ail	0.9773
musc	0.9187
cereale	0.8697
peche	0.8051
cerise	0.8853
violette	0.7486
rhum	0.8560
